title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 77 м2","Бишкек, Юг-2 м-н",$ 69 000,5 851 200 сом,$ 896/м2,75 990 сом/м2,Добавлено 2 дня назад,Поднято 6 часов назад,26,от агента,кирпичный,2 этаж из 10,,77 м2,,элитка,центральное,евроремонт,возможно подключение,adsl,раздельный,лоджия,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Центр города, Абая / Горького
Застройщик СК “Эмарк строй”
Дом сдан в эксплуатацию в 2017 году.
——————————————————
Площадь - 76,4 м2
Количество комнат - 2
Этажность - 2 из 10
——————————————————
Тёплые полы на кухне и прихожей.
Все коммуникации центральные.
Из мебели остаётся: кухонный гарнитур, купейный шкаф и обувница.
Из техники: газ-плита, посудомоечная машинка, кондиционер, вытяжка, стиральная машинка, водонагреватель в ванной.
Акнет и Скайнет проведены.
Квартира очень тёплая.
Благоустроенный двор, детская площадка.
Камеры видеонаблюдения, домофон.

——————————————————
Цена: $69000.
Тел.:0700799822  0777799822
(т1)
","""42.8595""","""74.6087""",https://www.house.kg/details/63325226059da969c70b7-99563447,
"2-комн. кв., 73 м2","Бишкек, Юг-2 м-н",$ 71 500,6 063 200 сом,$ 979/м2,83 058 сом/м2,Добавлено 2 дня назад,Поднято 6 часов назад,41,от агента,кирпичный,8 этаж из 10,,73 м2,,элитка,центральное,евроремонт,возможно подключение,adsl,раздельный,,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2х Абая//Горького
Застройщик: Эмарк Строй
Год постройки: 2017г
Общая площадь:73м²
Материал стен: Кирпич
Этаж:8/10
Сан.Узел: раздельный
Все коммуникации центр
Состояние: с отличным ремонтом
Документы на руках

Цена: 71.500

Контакты:0700799822  0777799822

Мебель частично.
(эм)
","""42.8594""","""74.609""",https://www.house.kg/details/34432306059d768558ab2-38332199,
"3-комн. кв., 117 м2",Бишкек,$ 102 000,8 649 600 сом,$ 872/м2,73 928 сом/м2,Добавлено 2 дня назад,Поднято 6 часов назад,48,от агента,"кирпичный, 2015 г.",8 этаж из 9,,117 м2,,элитка,центральное,евроремонт,возможно подключение,adsl,раздельный,лоджия,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3 ком.

Количество комнат: 3
Адрес: Боконбаева/Турусбекова
Серия: Элитка 
Этаж: 8 из 9
Тип строения: Кирпичный
Площадь: 107м²
Комуникации: Центральные
Отопление: Центральное
Застройщик СК ""Авангард""
Состояние: С ремонтом
Мебель: Полностью мебелирована
Документы: На руках
Цена: 102000$ 

Контакты: 0700799822 0777799822

Подробности: Дом находится в центре города.
Удобная транспортная развязка. Двор огороженный, охраняемая территория, видеонаблюдение. 2 санузла. В квартире тепло. Проблем никаких нет.
(т3)
","""42.8683""","""74.5834""",https://www.house.kg/details/650300460598b13f3d914-22073615,
"3-комн. кв., 156 м2","Бишкек, 8 м-н, пудовкина",$ 210 600,17 858 880 сом,$ 1 350/м2,114 480 сом/м2,Добавлено 1 месяц назад,Поднято 6 часов назад,224,от агента,"монолитный, 2016 г.",8 этаж из 15,,156 м2,,элитка,автономное,евроремонт,возможно подключение,adsl,раздельный,,,,,,,,,нет,,,частично меблирована,ламинат,3.3 м.,,,,,"

                                    Описание от продавца                            
Продается 3 комнатная квартира
 в элитном доме, Премиум Класса.
8  Мкр , Южная Магистраль 
ЖК-""ФАНТАЗИЯ"" 
Квартира общей площадью 156 кв 
С ремонтом и мебелью !!! 
Этаж-8/15 
Санузел-2
Очень удобная планировка 
Имеются все коммуникации!!!
Прилегающая территория-1,5ГА !!!!!
Охраняемая территория, 
2 уровня подземного и надземного паркинга,видеонаблюдение.
В доме расположен спорт клуб
""World class"" и СПА-комплекс ""World class""
Комплекс включает все для комфортного проживания жителей!!!!!
Вся инфраструктура в шаговой доступности!!! 
Техпаспорт на руках
тел 0700799822
Цена - 210600
","""42.8277""","""74.6124""",https://www.house.kg/details/884061960310be2763805-17843548,
"3-комн. кв., 138 м2","Бишкек, 7 м-н",$ 92 000,7 801 600 сом,$ 667/м2,56 533 сом/м2,Добавлено 2 месяца назад,Поднято 6 часов назад,509,от собственника,"кирпичный, 2019 г.",5 этаж из 12,,138 м2,,элитка,центральное,под самоотделку (псо),,,2 с/у и более,лоджия,,рядом охраняемая стоянка,,,,,,магистральный,,,пустая,,,,,,,"

                                    Описание от продавца                            
Продается 3-х комнатная квартира
ПСО 
в 7мкр в элитном доме 138 м2 этаж 5из12 СК Эталон дом кирпичный Комуникации все центральное параметры очень хорошие вид с окна, транспортная развязка в любую точку города инфраструктура всё в пешей доступности цена 92000 окончательно
","""42.8288""","""74.6091""",https://www.house.kg/details/3727831600fa983b67610-54579732,
"2-комн. кв., 43 м2","Бишкек, 10 м-н",$ 38 500,3 264 800 сом,$ 895/м2,75 926 сом/м2,Добавлено 19 дней назад,Поднято 6 часов назад,123,от агента,панельный,3 этаж из 5,,43 м2,,104 серия,центральное,хорошее,возможно подключение,adsl,совмещенный,балкон,бронированная,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продается 2-х комнатная квартира 43м2  в 10 мкр-не. 104 серии. Этаж 3/5. Не угловая. С/у совмещённый. Теплая и уютная. Экологически чистый район. Тихий двор. Соседи тихие цена 38000   тел 0700799822,0777799822
","""42.8314""","""74.6044""",https://www.house.kg/details/15358786043234b39d382-97044226,
"4-комн. кв., 132 м2",Бишкек,$ 129 000,10 939 200 сом,$ 977/м2,82 873 сом/м2,Добавлено 2 месяца назад,Поднято 6 часов назад,303,от агента,"кирпичный, 2015 г.",10 этаж из 11,,132 м2,,элитка,центральное,евроремонт,возможно подключение,adsl,раздельный,лоджия,бронированная,,,,,,,магистральный,,,,ламинат,,,,,,"

                                    Описание от продавца                            
Продается 4 -кв. 132кв. м ремонт делали для себя. везде натяжные потолки,испанская плитка,итал. обои и корея. австрийский ламинат. техника вся аристоновская. теплые полы на кухне и в сан. узлах. Тоголок-Молдо Токтогула.Над Наватом. Променад .Самый центр. В шаговой доступности все. Бишкек парк,Россия,Кардио центр,народный,Глобус ,парки и мн. другое. университ.
Год постройки 2015 
Этаж 10из 11 
СК Юнис Курулуш
 Цена 131000
","""42.8724""","""74.5956""",https://www.house.kg/details/2895726013e50860b535-57654902,
"3-комн. кв., 67 м2",Бишкек,$ 57 000,4 833 600 сом,$ 851/м2,72 143 сом/м2,Добавлено 1 месяц назад,Поднято 6 часов назад,248,от агента,кирпичный,4 этаж из 5,,67 м2,,элитка,центральное,евроремонт,возможно подключение,adsl,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,,,,полностью меблирована,ламинат,,,,,,"

                                    Описание от продавца                            
Продается 3х комнатную квартиру 
Площадь (м. кв.):67
Этаж:4/5
Тип здания:Вторичное жилье
Состояние:С ремонтом
Коммуникации: центральные 
Санузел: раздельный 
Квартира: Не угловая
Район:Боконбаева Тыныстанова
Цена: 57500$ 

Дополнительно: Продается чудесная трёхкомнатная квартиры. Теплая, уютная, комфортная и очень атмосферная. 

Три комнаты изолированы друг от друга, большая прихожая, которую можно ещё увеличить, разделенные ванна и туалет. Большая кухня, объединенная с балконом, одну из комнат также можно объединить с балконом - уже установлены качественные железные лаги. На кухне ""фартук"" из качественной, дорогой плитки, вытяжка, столовая зона отделена стойкой с каменной столешницей, большое окно с видом на горы. Везде натяжные потолки. Новая медная проводка. Обновлённая сантехническая система с пластиковыми трубами. В ванной и туалете новая качественная плитка, в ванной установлен бойлер, окно-пластик непрозрачное по индивидуальному заказу. Пол деревянный, покрыт качественным линолеумом и в одной из комнат ламинатом. Дом кирпичный, теплый, индивидуальный проект (Физприборы). Четвертый этаж из пяти, не угловая. Рядом бульвар Эркиндик (Дзержинского), несколько школ, детских садов, кофейни, магазины, любой транспорт по всем направлениям.
ТЕЛ 0700799822
(Н2)
","""42.8668""","""74.6087""",https://www.house.kg/details/802518060276a3e1366b9-07665004,
"Коммерческая недвижимость, 73 м2","Бишкек, Жибек жолу Тимирязева",$ 70 000,5 936 000 сом,$ 959/м2,81 315 сом/м2,Добавлено 4 месяца назад,Поднято 6 часов назад,736,от собственника,"кирпичный, 2019 г.",,,73 м2,,,центральное,евроремонт,есть,,,,,,,,,,,,,,,,,,есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продается цокольное помещение с ремонтом под Жилым многоэтажном доме.Можно сдавать в аренду на 600-700$,или можно сделать минимаркет.
Адрес: Жибек жолу-Шевченко
Цена:70000, есть вариант обмена на авто и рассрочка
Тел:0707014848
    0778306352
","""42.8841""","""74.5845""",https://www.house.kg/details/93076125fbb4743aa9d74-46269714,
"2-комн. кв., 50 м2","Бишкек, Верхний Джал м-н",$ 44 500,3 773 600 сом,$ 890/м2,75 472 сом/м2,Добавлено 27 дней назад,Поднято 6 часов назад,194,от агента,кирпичный,9 этаж из 12,,50 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
В Самом Востребованном Районе Южная Магистраль Масалиева Ориентир Верхний Джал Срочно Продаётся Квартира Студия 2х Комнатная,Этаж 9/13. 52м. С Евро ремонтом С Мебелью и Техникой Все Комуникации центральные Тех паспорт есть. Охроаняемый Двор Подземный Паркинг Детская Площадка  Развитая инфраструктура района Удобная Транспортная Развязка цена 44500
","""42.8308""","""74.5672""",https://www.house.kg/details/39335366038daf48dfcc4-63689945,
