title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"3-комн. кв., 58 м2","Бишкек, 6 м-н",$ 44 500,3 773 600 сом,$ 767/м2,65 062 сом/м2,Добавлено 20 дней назад,Поднято 13 часов назад,122,от агента,панельный,2 этаж из 4,,58 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру в 6 микрорайон
104-серия, 
Общая площадь- 58м2
Этаж-2/5
Не угловая
Хорошее состояние
Вся инфраструктура в шаговой доступности 
Удобная транспортная развязка 
Цена: 44500$
","""42.8234""","""74.6246""",https://www.house.kg/details/79566236041cb67a2d8a9-00453564
"2-комн. кв., 40 м2","Бишкек, Киевская/Логвиненко",$ 39 500,3 349 600 сом,$ 988/м2,83 740 сом/м2,Добавлено 6 месяцев назад,Поднято 13 часов назад,767,от собственника,кирпичный,4 этаж из 4,,40 м2,,хрущевка,центральное,хорошее,,,совмещенный,застекленный балкон,бронированная,,,,,,,,,"домофон,                                             видеонаблюдение",,ламинат,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             тихий двор",,,,"

                                    Описание от продавца                            
Срочно продам! 2 к. кв. Киевская. 40м2. хрущ. 39,5т.$
Продается стильная 2 к. кв. в центре,
Киевская/Логвиненко,

Площадь 40 кв. метров,
Квартира в отличном состоянии,
Пластиковые окна,
Полы ламинат,
Балкон застеклен и утеплен,
На 4 этаже из 4,
Шатровая крыша,
В санузле душевая кабина,
Новая сантехника,
Водостойкое покрытие стен,
Все коммуникации центральные,
Огороженный зеленый двор,
Много парковочного места,

В шаговой доступности: площадь Ала-Тоо,
Парк Панфилова, кинотеатр «Россия»,
Магазины, детсад,
Транспорт в любую точку города,

Просим: 39 500$
Звоните: 0999 09 98 95, 0550 03 40 02,
Покажу в течение 1 часа
","""42.8851""","""74.5937""",https://www.house.kg/details/44708875f75a5841e3b75-97491235
"2-комн. кв., 66 м2","Бишкек, Южная Магистраль / просп. Токомбаева / ул. Жукеева-Пудовкина",$ 34 500,2 925 600 сом,$ 523/м2,44 327 сом/м2,Добавлено 22 дня назад,Поднято 13 часов назад,212,от агента,"монолитный, 2020 г.",6 этаж из 14,,66 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
продаю 2 ком квартиру КЖ Групп 
66,6 м2 
ПСО
планировку могу выслать на Вацап
","""42.8212""","""74.6122""",https://www.house.kg/details/1451494603fa3527d3814-24687161
"5-комн. кв., 150 м2","Бишкек, Медерова/Советская",$ 133 000,11 278 400 сом,$ 887/м2,75 189 сом/м2,Добавлено 4 месяца назад,Поднято 13 часов назад,396,от агента,кирпичный,3 этаж из 5,,150 м2,,индивид. планировка,центральное,хорошее,,,2 с/у и более,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продам! 5 к. кв. Медерова/Советская. 150м2. 133т.$
Продается шикарная, комфортная, светлая 5 к. кв, 
Отличное расположение, безопасный район,
Индеведуальной планировки, Кирпичный дом,
Медерова/Советская,

Площадь 150 кв. метров,
Квартира в хорошем состоянии,
На 3 этаже из 5
Полы ламинат, пластиковые окна,
2 раздельных санузла, 100% кафель,
Все коммуникации центральные,

Идеальный вариант для комфортной жизни!

В шаговой доступности: «Народный», Vefa центр,
Парк физкультурный, Золотой Дракон,
Аграрный университет, дет. сад №120, Октябрьский РОВД,
Транспорт в любую точку города,

Вы человек ищущий настоящий комфорт для себя и своей семьи?
Тогда это ваша квартира!

Звоните сейчас: 0550034002
Покажу в течение 1-2 часа
","""42.8522""","""74.6098""",https://www.house.kg/details/81733025fc1fb8fc0a5f7-03251815
"2-комн. кв., 70 м2","Бишкек, Восток-5 м-н",$ 54 500,4 621 600 сом,$ 779/м2,66 023 сом/м2,Добавлено 3 месяца назад,Поднято 13 часов назад,482,от агента,кирпичный,3 этаж из 9,,70 м2,,индивид. планировка,центральное,евроремонт,,,совмещенный,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Срочно! Очень срочно продаю! 2х комнатную квартиру в районе Востока 5.
Все в шаговой доступности, магазины, базарчики, хорошая транспортная развязка. Элитка, 70м2 СК ""Дианур строй"". Дом кирпичный, квартира угловая, этаж 3/9,  евроремонтом. Вся мебель остаётся , кроме холодильника и стиральной машинки. Все центральные коммуникации, газ скоро проведут. Документ в порядке, тех паспорт есть, дом сдан в эксплуатацию ещё с 2015 года.
цена: 54500$
(торг приветствую)
","""42.8715""","""74.6304""",https://www.house.kg/details/37305415fe6e1e8ef72a6-22322549
"1-комн. кв., 35 м2","Бишкек, Интергельпо",$ 22 500,1 908 000 сом,$ 643/м2,54 514 сом/м2,Добавлено 3 месяца назад,Поднято 13 часов назад,451,от собственника,кирпичный,1 этаж из 2,,35 м2,,сталинка,,хорошее,,,совмещенный,,,,,,,,,,,,,дерево,3 м.,,,,,"

                                    Описание от продавца                            
Продам срочно! 1 к. кв. Шлагбаум. 35м2.  22,5т.$
Продается в теплом, кирпичном доме 1 к. кв,
Отличное расположение, район Шлагбаум,
Интергельпо/Чуй,
Не угловая,


Площадь 35 кв. метр,
Квартира в хорошем состоянии,
Высота потолков 3 метра
Полы деревянные
Квартира на 1 этаже из 2,
Санузел совмещен, 100 % кафель,
Все коммуникации центральные,
Хороший вариант для молодой семьи,

В шаговой доступности: магазины, аптеки,
Школа №57, №22, детсады, поликлиника №1,
Парк для пронулок, Ошский рынок,
Удобная транспортная развязка в любую точку города,

Просим: 22 500$,
Звоните сейчас: 0550 034002
Покажу в течение 1-2 часов
","""42.8753""","""74.558""",https://www.house.kg/details/37412745fdda93533fcc2-35088513
"3-комн. кв., 80 м2",Бишкек,$ 72 000,6 105 600 сом,$ 900/м2,76 320 сом/м2,Добавлено 21 день назад,Поднято 13 часов назад,97,от агента,кирпичный,2 этаж из 5,,80 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру в Вефа центр
Индивидуальный проект, 
Общая площадь- 80м2
Этаж-2/5
Не угловая
Хорошее состояние,
Без мебели
Вся инфраструктура в шаговой доступности 
Удобная транспортная развязка 
Цена: 72000$
","""42.8572""","""74.6104""",https://www.house.kg/details/32369676040ad47acd082-73880413
"2-комн. кв., 43 м2",Бишкек,$ 38 500,3 264 800 сом,$ 895/м2,75 926 сом/м2,Добавлено 12 дней назад,Поднято 13 часов назад,46,от агента,панельный,4 этаж из 5,,43 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 2-комнатная квартира на Токтогула/Тимирязева
104 серия
Общая площадь-43 м2
Этаж-4/5
Не угловая
Балкон не застекленный
Тихий район, всё в шаговой доступности, отличная транспортная развязка!
Цена: 38500$
Торг при осмотре
","""42.8732""","""74.5827""",https://www.house.kg/details/7229863604c8c5312f412-57859970
"2-комн. кв., 57 м2",Бишкек,$ 49 500,4 197 600 сом,$ 868/м2,73 642 сом/м2,Добавлено 12 дней назад,Поднято 13 часов назад,65,от агента,кирпичный,5 этаж из 9,,57 м2,,элитка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 2-комнатная Квартира в Белинка/ Айни
Элитка
Общая площадь-57м2
Этаж-5/9
Не угловая, ""ТЕХПАСПОРТ НА РУКАХ""
Балкон застеклена
Частично мебель 
Тихий район, всё в шаговой доступности, отличная транспортная развязка!
Цена: 49500$
Торг при осмотре
","""42.8485""","""74.5857""",https://www.house.kg/details/8277192604c9b9b0e14c8-04535821
"2-комн. кв., 43 м2",Бишкек,$ 39 000,3 307 200 сом,$ 907/м2,76 912 сом/м2,Добавлено 12 дней назад,Поднято 13 часов назад,64,от агента,кирпичный,4 этаж из 11,,43 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 2-х комнатная квартира-студия,на Гоголя/Чуйкова
Общая площадь-43м2
Этаж-4/11
Всё коммуникации центральные, всё подключено
Техпаспорт на руках
Квартира с ремонтом, мебель остается частично.

Цена-39000долл.
","""42.8651""","""74.6148""",https://www.house.kg/details/9948901604c97e58a8c54-94169261
