title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"2-комн. кв., 16 м2","Бишкек, ул. Байтик Баатыра (недалеко от Южных ворот)",$ 59 500,5 045 600 сом,$ 3 719/м2,315 350 сом/м2,Добавлено 5 дней назад,,44,от агента,"монолитный, 2022 г.",2 этаж из 10,,"16 м2, жилая: 70 м2",,элитка,на газе,под самоотделку (псо),возможно подключение,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,домофон,,пробковое,3 м.,,,,,"

                                    Описание от продавца                            
2-комнатная квартира -79,64 От СК «Авангард стиль»ЖК Авангард сити
Город в городе
Все коммуникации (вода артезианская)
Игровые площадки, беговые и велосипед. дорожки, баскетбол., футбольные площадки, образоват., центры
комн.кВ
Вид на горы.
Цена всего 59500$
","""42.8185""","""74.6046""",https://www.house.kg/details/7741806055e631a7f000-90828716
"3-комн. кв., 50 м2","Бишкек, 6 м-н, 6 мкр 10/нет",$ 55 000,4 664 000 сом,$ 1 100/м2,93 280 сом/м2,Добавлено 1 месяц назад,Поднято 5 дней назад,103,от собственника,"панельный, 1976 г.",1 этаж из 4,,"50 м2, жилая: 45 м2",,104 серия,центральное,хорошее,возможно подключение,оптика,2 с/у и более,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             видеонаблюдение",частично меблирована,ламинат,2.8 м.,,,,,"

                                    Описание от продавца                            
удобно и для бизнеса и прожив
ания
","""42.8268""","""74.6296""",https://www.house.kg/details/8407991602d2b88f01168-00554763
"4-комн. кв., 100 м2","Бишкек, Тунгуч м-н 60/1",$ 70 000,5 936 000 сом,$ 700/м2,59 360 сом/м2,Добавлено 5 дней назад,,31,от собственника,"панельный, 2015 г.",5 этаж из 9,,"100 м2, кухня: 18 м2",,106 серия улучшенная,центральное,евроремонт,есть,проводной,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"видеонаблюдение,                                             домофон",полностью меблирована,ламинат,,,,,,,"""42.8533""","""74.6898""",https://www.house.kg/details/1975906055ddd8bfad32-60274110
"2-комн. кв., 60 м2","Бишкек, Орозбекова 8/Боконбаева",$ 75 000,6 360 000 сом,$ 1 250/м2,106 000 сом/м2,Добавлено 24 дня назад,Поднято 5 дней назад,164,от собственника,"монолитный, 2017 г.",6 этаж из 10,,60 м2,,элитка,центральное,евроремонт,,проводной,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             тихий двор,                                             улучшенная",есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру в ЖК ""Сакура"" расположен в самом центре города Бишкек (Золотой Квадрат)
по адресу: ул. Орозбекова, 8 (пересекает ул. Боконбаева)!
 
Преимущества жилого комплекса ""Сакура"":
* Благоприятный район и современная архитектурная композиция!
* Всего 45 квартир большой и сверхудобной планировки!
* И на каждом этаже только 5 квартир
* Централизованные водоснабжение, газоснабжение, отопление и канализация!
* Детская игровая площадка и площадка для отдыха!
* Удобное транспортное сообщение (подъезд к дому)!
* Высококачественная наружная отделка!
* Каркас выполнен из монолита, а заполнение из жжённого кирпича!
* Утеплённые наружные стены из газосиликата!
* 3-х и 5-икамерные (французские) металлопластиковые окна из турецкого профиля!
* Качественные входные двери в квартирах (произ-во Россия)!
* Современный, скоростной и бесшумный лифт Турецкого производства 💪
* Сейсмоустойчивость - 9,1 баллов!
* Новый современный Спортзал «Престиж» на цокольном этаже данного дома💪👍 
Общая Площадь 60 кВ метров 
Покупали как 67,4 кВ по наружным стенам 
Для себя делали ремонт 👍 только из качественных материалов 
Квартира меблирована
Заходи и живи 💪👍
Все вопросы по телефону 0550668994
0771884677 ( хозяин квартиры ) 
Не агенство 👌 
Прошу за квартиру 75000 долларов США торг есть
","""42.8662""","""74.6018""",https://www.house.kg/details/496676603dd8946695b9-07433657
"Дом, 6 и более комнат, 140 м2","Бишкек, Киргизия-2 м-н, славгородская 33а",$ 125 000,10 600 000 сом,$ 893/м2,75 714 сом/м2,Добавлено 7 месяцев назад,Поднято 5 дней назад,1236,от собственника,"кирпичный, 2015 г.",,2,140 м2,4.5 соток,,центральное,хорошее,,,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,ламинат,,,,,,"

                                    Описание от продавца                            
продажа дома Киргизия 2. кирпичный. 4.5 сот.красная книга.центральное отопление. 140 кв
","""42.8093""","""74.5767""",https://www.house.kg/details/18054655f55f8d70855f2-77911810
"Дом, 4-комн., 165 м2","Бишкек, Арча-Бешик ж/м, Чортекова/Он-Арча",$ 100 000,8 480 000 сом,$ 606/м2,51 394 сом/м2,Добавлено 7 дней назад,Поднято 5 дней назад,81,от собственника,"кирпичный, 2020 г.",,1,165 м2,4.4 соток,,смешанное,хорошее,,,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продается новый дом (2020г.)
Район шикарный, Арча-Бешик (ГазПром). Выше магистрали, свежий воздух. Дом кирпичный (1.5 кирпича), утеплённый со всеми удобствами. В доме  3 спальни, 1 спальня с санузлом, зал, холл, кухня , душевая + 2 санузла ,тамбур. Общая площадь дома  165 м2, +;подвал 55 м2. Земельный участок площадью 4,4 соток (красная книга). Все коммуникации: центр.канализация, газ, теплый пол, современный очок, отопительный подвал (можно исп. как кладовку). Развитая инфраструктура, рядом есть все: школа, садик, магазины и т.д. С документами все в порядке. Адрес:  Чортекова/Он-Арча. Цена: 100000$. Обращайтесь по номеру: 0551882291
","""42.8239""","""74.5463""",https://www.house.kg/details/6915204605431b55fd0d0-67328970
"Участок, 13 соток","Бишкек, Арча-Бешик ж/м, Бердибаева/Баха",$ 160 000,13 568 000 сом,,,Добавлено 1 месяц назад,Поднято 5 дней назад,249,от собственника,,,,,13 соток,,,,,,,,,,"свет,                                             газ,                                             вода,                                             канализация",,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 13 соток в Арча-Бешик, Баха/Бердибаева (выше магистрали). Хороший район, чистый воздух. На участке имеется дом и времянка под сдачу для жилья. Можно снести все постройки. Участок прямоугольной формы. Коммуникации: газ  водопровод, электричество, центральная канализация проходит рядом. Обращайтесь по номеру: 0702092478
","""42.8217""","""74.5627""",https://www.house.kg/details/165233760339db8c05305-83198699
"1-комн. кв., 40 м2","Бишкек, Асанбай м-н, Магистраль/рядом с ж/м Ницца",$ 30 500,2 586 400 сом,$ 763/м2,64 660 сом/м2,Добавлено 7 дней назад,Поднято 5 дней назад,96,от собственника,кирпичный,10 этаж из 11,,40 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 1 к.квартиру в новом доме со свежим и отличным ремонтом. Адрес: мкр. Асанбай, рядом с жилым комплексом Ницца, АУЦА. Отличный район, экологически чистый воздух. Этаж 10-й (панорамный вид), площадь 40 кв.м. Застройщик ""TS GROUP"". Дом заселён, вся инфраструктура имеется, охрана, детская площадка, видеонаблюдение. В пешей доступности парк «Асанбай», Глобус и т.д. Развитая инфраструктура, рядом есть все. Срочная цена: 30500$, торг уместен в разумных пределах. Обращайтесь по номеру: 0553878753
","""42.8161""","""74.62""",https://www.house.kg/details/345438360540ba83802f0-69098529
"Участок, 22 соток","Бишкек, Арча-Бешик ж/м, Садырбаева/ниже ул. Он-Арча",$ 185 000,15 688 000 сом,,,Добавлено 8 дней назад,Поднято 5 дней назад,56,от собственника,,,,,22 соток,,,,,,,,,,"свет,                                             газ,                                             вода,                                             канализация",,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю земельный участок площадью 22 сотки в Арча-Бешик, Баха/Он-Арча (выше Магистрали). Хороший район, чистый воздух, идеальное место под строительство клубных домов. Коммуникации: водопровод, электричество, центральная канализация и газ. ""Красная книга"". Цена: 185000$, торг уместен в разумных пределах. Обращайтесь по номерам: 0553878753 либо 0702092478
","""42.8237""","""74.5637""",https://www.house.kg/details/82982196052ea98862b86-21398099
"3-комн. кв., 50 м2","Бишкек, Рабочий Городок, Гагарина/Леваневского",$ 18 500,1 568 800 сом,$ 370/м2,31 376 сом/м2,Добавлено 4 месяца назад,Поднято 5 дней назад,960,от собственника,кирпичный,1 этаж из 1,,50 м2,,индивид. планировка,на газе,,,,,,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3-к кв. барачного типа. + Прихожка, кухня, двор. Отопление газовое и твердое топливо. Рабочий городок. Цена снижена, срочно!!!
","""42.8567""","""74.5668""",https://www.house.kg/details/31379265fad064e15e641-56454702
"2-комн. кв., 47 м2","Бишкек, Ж.Жолу 222/Напротив Восточного автовокзала",$ 32 500,2 756 000 сом,$ 691/м2,58 638 сом/м2,Добавлено 8 дней назад,Поднято 5 дней назад,65,от собственника,панельный,5 этаж из 12,,47 м2,,индивид. планировка,центральное,требует ремонта,,,раздельный,лоджия,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2-х комнатную квартиру,индивид. план. Жибек-Жолу-222/между Суюмбаева и Осмонкулова, этаж 5 из 12. Площадь 46,3 м2, + 3 лоджии. Площадь с лоджиями 55м2, (кухня= 7,9м2), год постройки 1989 год. Санузел раздельный, комнаты изолированные, 3 лоджии застекленные, лифт работает, электро приготовление. Цена: 32500$, торг уместен в разумных пределах. Обращайтесь по номеру: 0553878753
","""42.8857""","""74.626""",https://www.house.kg/details/17625186051d5fbbce052-78680056
"5-комн. кв., 135 м2","Бишкек, Ибраимова/Огонбаева",$ 137 000,11 617 600 сом,$ 1 015/м2,86 056 сом/м2,Добавлено 9 месяцев назад,Поднято 5 дней назад,646,от собственника,кирпичный,3 этаж из 7,,135 м2,,индивид. планировка,,евроремонт,есть,проводной,2 с/у и более,,,,,,,,,,,,,,4.8 м.,,,есть,,"

                                    Описание от продавца                            
Срочно в связи с выездом продаю 5 к. квартиру+ кухня студия, + мебель, бытовая техника, 3 этаж из 7, дом кирпичный индивид. проект, 2 санузла, кладовка, дверь бронированная, пол керамогранит, + парковка выкуплена для авто, высота потолков 4,8 метров, лоджия застеклена, 2 кандера, теплые полы, большие окна 2,35 м. , звукоизоляция. Квартира двухуровневая, лестницы кубической формы с нишами, кухня студия из натурального дерева, центральное отопление. Окна смотрят на юг (солнечная сторона), двор охраняемый, огорожен, панорамный лифт, домофон, + интернет, дом. телефон. Дом сейсмостойкий.

(Для клиентов есть такой вариант: оплата 50% сразу, а остальные 50% под 2.5% на 10 лет, поможем оформить данный кредит).
","""42.8778""","""74.6182""",https://www.house.kg/details/26910095f014cc52b2195-72167075
"Участок, 2000 соток","Бишкек, Ак-Ордо ж/м, абылгазиев эсен 59/кок жайык",$ 15 000,1 272 000 сом,,,Добавлено 5 дней назад,,83,от собственника,,,,,2000 соток,,,,,,,,,,"свет,                                             вода",в городе,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Ак ордо 2,509контурдан толук буто элек эки этажга ылайыкталган Уй сатылат,участок 2сотых,ошол учун баасы арзан коюлган.Адреси Абылгазиев Эсен кочосу 59.(Тагай бий/Ахунбаева кочолорунон алыс эмес жерде жайгашкан).Уйдун узун туурасы 6#11м,кызыл кирпичтен 1.5кирпич коюлган,фундамент тумба сейсма пояс полный российский арматура токулган,суу свет кирген.Канализация жана газ жакындап калган.Полный уйлор тушкон,баардыгында Кызыл китеби жок,жашыл китеп бар.Трансформацияга эми кол коюлгандыктан жакын арада Кызыл китеп тиет.эн башкысы Ызы чуусу жок.Озумо деп салып жаткам,акча керек болгондун себебинен сатып жатам.Баасы 15000$дагы суйлошсок болот,машинеге алмашуу жолун карайм устуно кошуп берсе.Ахунбаева кочосунон уйго чейин 500м,маршруткага чейин 800м тузот.Байланыш номери 0508940001,вотсап бар .
","""42.8434""","""74.492""",https://www.house.kg/details/7733426055cb9dd56f85-30013503
"Дом, 5-комн., 160.3 м2","Бишкек, Дордой ж/м, Коллекторная 139/Коллекторная пересекает Совецкий переулок",$ 45 000,3 816 000 сом,$ 281/м2,23 805 сом/м2,Добавлено 5 дней назад,,50,от собственника,"кирпичный, 1985 г.",,1,"160.3 м2, жилая: 130.4 м2",529 соток,,на газе,хорошее,,оптика,раздельный,,,,,,возможно подведение,центральное водоснабжение,есть,магистральный,,,,,,"пластиковые окна,                                             баня,                                             хозпостройки,                                             навес",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается большой благоустроенный кирпичный дом, 5комнат+туалет, душ и баня в доме. Двор большой накрытый имеется цех и хоз постройки, огород. Цена 45т$ торг уместен.
","""42.9339""","""74.5996""",https://www.house.kg/details/42557116055c5fa73def1-06423883
"Дом, 3-комн., 39 м2","Бишкек, Кызыл-Аскер ж/м, Шуш-Тубе/Абдраева",$ 21 000,1 780 800 сом,$ 538/м2,45 662 сом/м2,Добавлено 5 дней назад,Поднято 5 дней назад,431,от собственника,кирпичный,,1,39 м2,4 соток,,на газе,среднее,есть,,нет,,,,,,возможно подведение,центральное водоснабжение,есть,магистральный,,,пустая,дерево,3 м.,,,,,"

                                    Описание от продавца                            
Срочно! Продается дом в связи с переездом! г.Бишкек  Кызыл Аскер газ,свет,вода, городской телефон. Просим 21000$ за срочность Все вопросы по тел или W/app  0558733738 или 0558733739
","""42.8725""","""74.5378""",https://www.house.kg/details/49557386055b756c29ec0-88485140
