title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"4-комн. кв., 74 м2","Бишкек, Чокморова/Калык Акиева",$ 62 000,5 257 600 сом,$ 838/м2,71 049 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,216,от агента,кирпичный,2 этаж из 5,,74 м2,,индивид. планировка,центральное,хорошее,есть,,совмещенный,,,,,,,,,,,,частично меблирована,,,пластиковые окна,,,,"

                                    Описание от продавца                            
Продаю 4к квартиру в центре!

•Благоприятный район
•Чокморова /Калыка акиева
•Большой и ухоженный двор(кубик)
•2этаж из 5
•с/у совм
•74. кв.м
•в хорошем состоянии

•Идеальное расположение, развитая инфраструктура. Рядом 68 школа гимназия, садики, магазины, бульвар Молодой гвардии. 
•Идеальная квартира как для себя, так и под сдачу для квартирантов.
•Цена 62000

•Успей приобрести ! Звоните!
0501220222
0755002302
","""42.8692""","""74.5802""",https://www.house.kg/details/8850305602cc5bbc69e68-26053499,
"1-комн. кв., 45 м2","Бишкек, салиева/айтматова",$ 31 000,2 628 800 сом,$ 689/м2,58 418 сом/м2,Добавлено 27 дней назад,Поднято 2 дня назад,140,от агента,панельный,7 этаж из 9,,45 м2,,106 серия улучшенная,центральное,евроремонт,,,,,бронированная,паркинг,,,,,,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеонаблюдение",частично меблирована,паркет,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю 1к квартиру! Центр!

•Салиева/Айтматова
•106 улучшенная серия
•7этаж из 9 (Прекрасный панорамный вид на закат и новую мечеть)
•45м2
•дом 2016 года постройки
•с ремонтом
•Кухонный встроенный гарнитур, новый кондиционер, бойлер и шкаф для одежды в подарок!
•с/у совм.(кафель нового образца)
•бронированная дверь( турецкого производства)
•паркетный пол
•детская площадка

•развитая инфраструктура. В шаговой доступности школы, садики, спортивные секции, магазины, аптеки и др.

Идеальный вариант как для себя так и под сдачу для квартирантов.

•цена 31000
Успей приобрести по низкой цене.

Звоните!
0501220222
0755002302
","""42.8838""","""74.6297""",https://www.house.kg/details/48672366038de355539a1-20120022,
"3-комн. кв., 68 м2","Бишкек, 1000 мелочей",$ 52 000,4 409 600 сом,$ 765/м2,64 847 сом/м2,Добавлено 27 дней назад,Поднято 2 дня назад,139,от собственника,панельный,7 этаж из 9,,68 м2,,106 серия,центральное,среднее,,,раздельный,лоджия,,паркинг,,,,,,,,"домофон,                                             видеонаблюдение",,,,неугловая,,,,"

                                    Описание от продавца                            
Срочно продаю квартиру в центре.

•Гоголя/Токтогула
•3к квартира +сушилка
•106 серия
•7 этаж из 9
•не угл.
•раздельный с/у
•68кв.м
•стоят камеры видеонаблюдения
•закрытый двор
•разнообразная детская площадка
•закрытая парковка(машину видно из окна)
•хорошая транспортная развязка , рядом школы 65,12,11,67 и др., садики и торговые центры, Karven.

•цена 52000
Успей приобрести по хорошей цене.

Звоните!
0501220222
0755002302
","""42.8747""","""74.6227""",https://www.house.kg/details/343265560388d7b4e4ed4-71707270,
"1-комн. кв., 18 м2","Бишкек, 5 м-н, Донецкая",$ 13 000,1 102 400 сом,$ 722/м2,61 244 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,197,от собственника,кирпичный,5 этаж из 5,,18 м2,,индивид. планировка,центральное,хорошее,есть,,раздельный,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю! 1к квартира!  
В 5 мкр.
1ком.кв.гостиничного типа. Эт. 5/5. 18м2 с капремонтом. Окна пластиковые, обои свежие, потолок натяжной, линолеум новый. Кухня и санузел общий в конце коридора. Сторона солнечная. Все коммуникации центральные. 

Рядом космопарк, ортосайский рынок, магазины, школа, садик.
Хорошая транспортная развязка.
Хороший вариант как для себя , так и под сдачу для квартирантов.

$ 13 000
Звони!
","""42.8349""","""74.627""",https://www.house.kg/details/9293556602f56e6505495-26422642,
"2-комн. кв., 43 м2","Бишкек, гоголя/фрунзе",$ 35 500,3 010 400 сом,$ 826/м2,70 009 сом/м2,Добавлено 22 дня назад,Поднято 2 дня назад,138,от агента,панельный,1 этаж из 5,,43 м2,,104 серия,центральное,хорошее,есть,,совмещенный,нет,бронированная,паркинг,,,,,,,,"решетки на окнах,                                             домофон,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",частично меблирована,,,пластиковые окна,,,,"

                                    Описание от продавца                            
Срочно продаю! Центр!

•Продаю 2к квартиру в благоприятном районе! 
•Гоголя/Фрунзе 
•104 серии 
•1 этаж из 5
•43м2 
•б/б, угл
•в хорошем состоянии 
•новый кафель в ванной 
•детская площадка 
•центральные коммуникации 
•имеется подвальное помещение
•огороженный двор

•развитая инфраструктура. Вблизи гипермаркет Фрунзе, Глобус, Цум, ГУМ , 4,12,65 школы , садики, площадь Победы

Цена 35500
Успей приобрести по выгодной цене !
Отличная квартира как для себя так и под сдачу для квартирантов.

Звони!
0501220222
0755002302
","""42.8808""","""74.6195""",https://www.house.kg/details/7713252603f4f395abcb1-35405228,
"3-комн. кв., 58 м2","Бишкек, ЦУМ, Фрунзе/Карпинка",$ 42 000,3 561 600 сом,$ 724/м2,61 407 сом/м2,Добавлено 27 дней назад,Поднято 2 дня назад,131,от агента,панельный,1 этаж из 5,,58 м2,,104 серия,центральное,хорошее,,,совмещенный,нет,бронированная,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю 3к квартиру в центре! Выгодно!

•Фрунзе/Карпинка
•3 комнатная квартира
•1этаж из 5
•104 серия
•с/у совм.
•58,4 м2
•квартира с ремонтом
•не угл.
•без балкона
•разнообразная детская площадка
•теплые полы
•пластиковые окна и решетки
•придомовая парковка(машину видно с окна)

•хорошая транспортная развязка , рядом школы 4,12,65,11. и др., спортивные секции, садики и торговые центры ГУМ, ЦУМ,Dordoi plaza и др., гипермаркет Фрунзе, площадь Победы.
•идеальный вариант как для себя так и под сдачу для квартирантов.

•цена 42000
Успей приобрести по хорошей цене.

Звоните!
0501220222
0755002302
","""42.8805""","""74.6223""",https://www.house.kg/details/93110636038c148451000-63079145,
"3-комн. кв., 77 м2","Бишкек, гоголя/Иваницина",$ 57 000,4 833 600 сом,$ 740/м2,62 774 сом/м2,Добавлено 1 месяц назад,Поднято 2 дня назад,145,от собственника,панельный,7 этаж из 9,,77 м2,,106 серия,,хорошее,есть,,раздельный,лоджия,бронированная,паркинг,,,,,,,,"решетки на окнах,                                             домофон,                                             видеонаблюдение",частично меблирована,,,"пластиковые окна,                                             новая сантехника,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка",,,,"

                                    Описание от продавца                            
Продаю 3 к.кв., + сушилка! В Центре!
-Гоголя / Иваницина
- 106 серия
- 77м2, этаж
-7/9 , угловая(но квартира очень теплая)
-все коммуникации центральные
-окна пластик
- квартира в хорошем состоянии
-частично мебель


- с лоджии красивейший вид на самую большую мечеть «Сарахсия»,  в шаговой доступности вся инфраструктура города : ГМ Фрунзе, Дордой Плаза, 1000 мелочей, школы №11 и т.д., гос., и частные садики, кафе и магазины и т.д., закрытый двор, своя парковочная зона! Дом ком очень ответственный, дружные соседи.

Цена 57000
Звони!
0501220222
0755002302
","""42.8825""","""74.6192""",https://www.house.kg/details/4038866602e0c11b64cc4-09674680,
"3-комн. кв., 68 м2","Бишкек, ЦУМ",$ 48 500,4 112 800 сом,$ 713/м2,60 482 сом/м2,Добавлено 28 дней назад,Поднято 2 дня назад,162,от собственника,панельный,8 этаж из 9,,68 м2,,индивид. планировка,центральное,хорошее,есть,,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Центр города!

Продаю 3к кв в самом центре!
•Чуй/Карпинка
•3к квартира
•индв. проект(галерейного типа)
•8 этаж из 9
•64кв.м
•большая лоджия(утепл.)
•свежий ремонт

•рядом с 12 гимназией. Так же вблизи 11, 65, 4, 66 школы, садики, спортивные секции и торговые центры.
•хорошая транспортная развязка
•место для парковки

•цена 48500$ (небольшой торг)
Успей приобрести по хорошей цене.

Звони!!
0501220222
0755002302
","""42.8748""","""74.6228""",https://www.house.kg/details/3885307603739bc1f8017-17176888,
"1-комн. кв., 38 м2","Бишкек, Карпинка/Токтогула",$ 33 999,2 883 115 сом,$ 895/м2,75 871 сом/м2,Добавлено 6 дней назад,Поднято 2 дня назад,36,от агента,"монолитный, 2021 г.",10 этаж из 12,,38 м2,,элитка,центральное,евроремонт,,,совмещенный,балкон,бронированная,паркинг,,,,,,,,"домофон,                                             сигнализация",пустая,,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,"

                                    Описание от продавца                            
Срочно продаю! Центр!

•Продаю 1к элитку в благоприятном районе!
•Карпинка/Токтогула
•СК Семак строй
•ЖК ""Rayyan Center""
•10 этаж из 12
•38м2
•пластиковые окна
•окна смотрят на восток
•2 балкона
•евроремонт
•кафель нового образца
•детская площадка
•все центральные коммуникации
•огороженный двор
•придомовая парковка
•дом заселен, сдан под ПСО

•развитая инфраструктура. Вблизи гипермарке Глобус, Цум, ГУМ , 11,4,12,65 школы , садики, площадь Победы, 1000 мелочей.

Цена 33999
Успей приобрести по выгодной цене !
Отличная квартира как для себя так и под сдачу для квартирантов.

Звони!
0501220222
0755002302
","""42.8715""","""74.6234""",https://www.house.kg/details/66518626054760bf3de29-16347856,
"3-комн. кв., 122 м2","Бишкек, Старый аэропорт",$ 110 000,9 328 000 сом,$ 902/м2,76 459 сом/м2,Добавлено 2 дня назад,,24,от собственника,кирпичный,3 этаж из 4,,122 м2,,элитка,автономное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаются Квартиры от 122 м2 до 260 м2 в клубном доме К2.
На территории клубного дома расположен спортивный комплекс К2.
 Красивый и ухоженный двор, минимум соседей
","""42.8389""","""74.576""",https://www.house.kg/details/5310476605980a96d4335-55790771,
