title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Дом, 5-комн., 270 м2","Бишкек, Жигулевская/Юнусалиева",$ 250 000,21 200 000 сом,$ 926/м2,78 519 сом/м2,Добавлено 2 месяца назад,Поднято 16 часов назад,442,от агента,кирпичный,,2,270 м2,4.2 соток,,смешанное,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,линолеум,,,,,,"

                                    Описание от продавца                            
продается 2х эт дом + цоколь.
 в доме 5 комнат + с /узел. площадь 270 м2 
 участок 4.2 м2
так же имеется
 действующая летняя площадка( кафе )
","""42.8463""","""74.6217""",https://www.house.kg/details/624023260052d585e8691-63110588
"Дом, 6 и более комнат, 130 м2","Бишкек, Логвиненко/Кулатова",$ 120 000,10 176 000 сом,$ 923/м2,78 277 сом/м2,Добавлено 2 месяца назад,Поднято 16 часов назад,345,от агента,кирпичный,,1,130 м2,4 соток,,смешанное,среднее,,,совмещенный,,,,,,септик,,есть,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
продаются 3 дома на участке 4 сотки.
2 дома в аренде.
1 дом - 1 ком - 29 м2
2 дом - 2 ком - 40.5 м2
3 дом - 3 ком -60 м2
В каждом доме сан узел + ванная.
Участок правильной формы.
","""42.8605""","""74.6055""",https://www.house.kg/details/160620360052a056611e6-26071751
"3-комн. кв., 63 м2","Бишкек, Киевская/Панфилова",$ 60 000,5 088 000 сом,$ 952/м2,80 762 сом/м2,Добавлено 2 месяца назад,Поднято 16 часов назад,411,от агента,кирпичный,2 этаж из 5,,63 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,,"""42.8749""","""74.6002""",https://www.house.kg/details/57211045ffc09740fd1d7-13495751
"2-комн. кв., 86 м2","Бишкек, Кок-Жар м-н",$ 60 000,5 088 000 сом,$ 698/м2,59 163 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,420,от агента,кирпичный,12 этаж из 12,,86 м2,,элитка,центральное,евроремонт,,,,,бронированная,,,,,,,магистральный,,,пустая,ламинат,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
продается 2х ком кв 86 м2 12/12 эт. в м-н Кок Жар
квартира с дорогим евро ремонтом. панорамные окна ( восток- запад ). можно переделать в 3х - студию.
дом кирпичный. сдан в эксплуатацию. тех паспорт имеется.
коммуникации центральные.
Рассмотрим вариант обмена на кв в южной части города от 100 м2.
","""42.8497""","""74.6317""",https://www.house.kg/details/27092155fe17444bfc540-26352108
"3-комн. кв., 62 м2","Бишкек, Гоголя/Московская",$ 54 000,4 579 200 сом,$ 871/м2,73 858 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,440,от агента,панельный,2 этаж из 5,,62 м2,,105 серия,центральное,требует ремонта,,,раздельный,лоджия,бронированная,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3х ком квартира. 105 серии. на 2 /5 эт. 
Требуется ремонт. стены готовы под обои.
Две лоджии- из зала и спальни.
","""42.8693""","""74.619""",https://www.house.kg/details/34064465fd07e61bcab33-29957010
"5-комн. кв., 200 м2","Бишкек, Панфилова/Токтогула",$ 265 000,22 472 000 сом,$ 1 325/м2,112 360 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,583,от агента,"монолитный, 2015 г.",5 этаж из 13,,200 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 5 ком квартира на 5 этаже. 200 м2.
сделан дорогой качественный ремонт.
вся мебель остается.
рассмотрим бартер
","""42.8724""","""74.6021""",https://www.house.kg/details/38178985fd04f505fe979-81770918
"Дом, 5-комн., 130 м2","Бишкек, Логвиненко/Кулатова",$ 160 000,13 568 000 сом,$ 1 231/м2,104 369 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,496,от агента,кирпичный,,2,130 м2,6 соток,,смешанное,требует ремонта,,,раздельный,,,,,,септик,центральное водоснабжение,есть,возможно подключение,,,,ламинат,,,,,,"

                                    Описание от продавца                            
Продается 2х уровневый дом. участок 6 соток.
1й эт. - 89м2.
2й эт. - без отделки.
сан. узел раздельный. теплые полы.
","""42.8609""","""74.5985""",https://www.house.kg/details/55573065fcdcf2a2f1999-38335832
"Коммерческая недвижимость, 300 м2","Бишкек, Панфилова/Горького",$ 650 000,55 120 000 сом,$ 2 167/м2,183 733 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,545,от агента,кирпичный,,2,300 м2,,,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,,"""42.8586""","""74.6008""",https://www.house.kg/details/30073975fc88b0667b946-12822649
"Участок, 16 соток",Бишкек,$ 245 000,20 776 000 сом,,,Добавлено 4 месяца назад,Поднято 16 часов назад,737,от агента,,,,,16 соток,,,,,,,,,,,вдоль трассы,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продается участок 16 соток. красная книга.
3 сотки на зеленой кн.. 
Район Супары. первая линия.
Рассмотрим бартер.
№ 0550622972
№ 0707103143
","""42.8453""","""74.638""",https://www.house.kg/details/57729965fc48a640007c9-29222570
"3-комн. кв., 106 м2","Бишкек, Ч. Айтматого",$ 90 000,7 632 000 сом,$ 849/м2,72 000 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,509,от агента,кирпичный,7 этаж из 7,,106 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3х ком квартира 106м2. 7/7 эт. Район Ак Кеме. пр.Мира. Квартира после ремонта.
","""42.8397""","""74.5834""",https://www.house.kg/details/27234675fc4832af0bbe9-75539292
"4-комн. кв., 190 м2","Бишкек, Киевская/ул. Уметалиева",$ 195 000,16 536 000 сом,$ 1 026/м2,87 032 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,411,от агента,"монолитный, 2018 г.",9 этаж из 14,,190 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
продается 4х ком квартира на 9/ 14 эт. 190м2. Квартира после ремонта. все остается
","""42.8749""","""74.5815""",https://www.house.kg/details/99843285fc47ff07fae82-40636972
"Дом, 6 и более комнат, 200 м2",Бишкек,$ 280 000,23 744 000 сом,$ 1 400/м2,118 720 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,760,от агента,кирпичный,,2,200 м2,,,электрическое,евроремонт,,,2 с/у и более,,,,,,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продается Танхаус в вип городке  "" Манас  айылы"" Famaly Village. 2 уровневый. 200м2. В доме качественный ремонт из дорогих материалов. Вся мебель остается. Охраняемая территория. обеспечивает безопасность и комфорт жителям городка. Тишина и прогулки на свежем воздухе.
Рассмотрим бартер на 2 ком квартиры и машину.
","""42.8244""","""74.5685""",https://www.house.kg/details/13397825fc47bf86a3e99-48363509
"3-комн. кв., 128 м2","Бишкек,  ул.Абдумамунова/Исаного",$ 75 000,6 360 000 сом,$ 586/м2,49 688 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,518,от агента,"монолитный, 2019 г.",11 этаж из 12,,128 м2,,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 3х ком квартира. 128м2. 11/12 эт.  ПСО. 
можно делать ремонт
","""42.8805""","""74.5907""",https://www.house.kg/details/55819315faba020112a89-43390790
"4-комн. кв., 165 м2","Бишкек, Асанбай м-н, Юж. магистраль/Сухе - Батора",$ 205 000,17 384 000 сом,$ 1 242/м2,105 358 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,682,от агента,"монолитный, 2020 г.",8 этаж из 15,,165 м2,,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,,,,,,,,,,,,,3.3 м.,,,,,"

                                    Описание от продавца                            
есть парковка и кладовая.
","""42.8228""","""74.6149""",https://www.house.kg/details/9280915fab8415578696-19940335
"Дом, 6 и более комнат, 550 м2","Бишкек, Ленинградская",$ 650 000,55 120 000 сом,$ 1 182/м2,100 218 сом/м2,Добавлено 5 месяцев назад,Поднято 16 часов назад,1039,от агента,кирпичный,,2,550 м2,15 соток,,смешанное,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,"решетки на окнах,                                             сигнализация,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,паркет,,"пластиковые окна,                                             баня,                                             бассейн,                                             сауна,                                             гараж,                                             3 фазы",,,,"

                                    Описание от продавца                            
Продается 2х эт .дом + цоколь. площадь дома - 550м2. участок 15 соток. в каждой спальне есть гардероб. сан.узел.
двор благоустроен. мебель + бытовая техника ( все дорогое и качественное) остается.
","""42.893""","""74.6107""",https://www.house.kg/details/67593325f97d98b800e27-10897797
"3-комн. кв., 125 м2","Бишкек, Исанова/Рыскулова",$ 135 000,11 448 000 сом,$ 1 080/м2,91 584 сом/м2,Добавлено 5 месяцев назад,Поднято 16 часов назад,630,от агента,кирпичный,5 этаж из 9,,125 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,,"""42.8785""","""74.6047""",https://www.house.kg/details/10276195f8e898d942060-66940898
"2-комн. кв., 65 м2","Бишкек, Киевская/ул. Уметалиева",$ 68 000,5 766 400 сом,$ 1 046/м2,88 714 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,320,от агента,"монолитный, 2015 г.",8 этаж из 10,,65 м2,,элитка,центральное,евроремонт,,,раздельный,лоджия,,,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
продается 2х ком кв 65 м2 на 8/10 эт. ЖК "" Шангри-Ла ""большие лоджии 
Квартира с ремонтом . ВСЯ МЕБЕЛЬ ОСТАЕТСЯ.
","""42.876""","""74.5807""",https://www.house.kg/details/65571395ff81d9de782c9-74504022
"Участок, 12 соток","Бишкек, Киргизия 1 ж/м",$ 140 000,11 872 000 сом,,,Добавлено 3 месяца назад,Поднято 16 часов назад,826,от агента,,,,,12 соток,,,,,,,,,,"свет,                                             вода",вдоль трассы,,,,,,,,,,дом,,,,"

                                    Описание от продавца                            
Продается участок 12 соток. прямоугольный. на участке находится домик 70м2  можно под снос.
","""42.8212""","""74.5757""",https://www.house.kg/details/49555115ff817ec75e291-19262333
"2-комн. кв., 78.2 м2","Бишкек, Орозбекова",$ 78 200,6 631 360 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,407,от агента,"монолитный, 2020 г.",3 этаж из 14,,78.2 м2,,элитка,центральное,под самоотделку (псо),,,,,,паркинг,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 2х ком кв 78.2 м2 3/14 эт. ЖК "" Гранвиль "". СК "" Имарат Прогресс"". Коммуникации центральные.
В доме : интернет. консьерж. бесшумные скоростные лифты. 3х уровневая система безопасности. паркинг ( 2х уровневый ) + гостевой
","""42.8656""","""74.6019""",https://www.house.kg/details/4089875fe58149844241-13114642
"3-комн. кв., 101.45 м2","Бишкек, Орозбекова",$ 101 450,8 602 960 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,430,от агента,"монолитный, 2020 г.",3 этаж из 14,,101.45 м2,,элитка,центральное,под самоотделку (псо),,,,,,паркинг,,,,,,магистральный,,консьерж,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 3х ком кв ПСО 101.45 м2 на 3/14 эт .ЖК "" Гранвиль ""  Коммуникации центральные. В доме : интернет. консьерж. бесшумные скоростные лифты. 3х уровневая система безопасности. парковка ( 2х уровневая ) + гостевая
Цена - 1000 за м2
","""42.8656""","""74.6019""",https://www.house.kg/details/59499075fe5873792ad82-99954203
"3-комн. кв., 128 м2","Бишкек,  ул.Абдумамунова/Исаного",$ 75 000,6 360 000 сом,$ 586/м2,49 688 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,520,от агента,"монолитный, 2019 г.",11 этаж из 12,,128 м2,,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 3х ком квартира. 128м2. 11/12 эт.  ПСО. 
можно делать ремонт
","""42.8805""","""74.5907""",https://www.house.kg/details/55819315faba020112a89-43390790
"4-комн. кв., 165 м2","Бишкек, Асанбай м-н, Юж. магистраль/Сухе - Батора",$ 205 000,17 384 000 сом,$ 1 242/м2,105 358 сом/м2,Добавлено 4 месяца назад,Поднято 16 часов назад,684,от агента,"монолитный, 2020 г.",8 этаж из 15,,165 м2,,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,,,,,,,,,,,,,3.3 м.,,,,,"

                                    Описание от продавца                            
есть парковка и кладовая.
","""42.8228""","""74.6149""",https://www.house.kg/details/9280915fab8415578696-19940335
"Дом, 6 и более комнат, 550 м2","Бишкек, Ленинградская",$ 650 000,55 120 000 сом,$ 1 182/м2,100 218 сом/м2,Добавлено 5 месяцев назад,Поднято 16 часов назад,1041,от агента,кирпичный,,2,550 м2,15 соток,,смешанное,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,"решетки на окнах,                                             сигнализация,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,паркет,,"пластиковые окна,                                             баня,                                             бассейн,                                             сауна,                                             гараж,                                             3 фазы",,,,"

                                    Описание от продавца                            
Продается 2х эт .дом + цоколь. площадь дома - 550м2. участок 15 соток. в каждой спальне есть гардероб. сан.узел.
двор благоустроен. мебель + бытовая техника ( все дорогое и качественное) остается.
","""42.893""","""74.6107""",https://www.house.kg/details/67593325f97d98b800e27-10897797
"3-комн. кв., 125 м2","Бишкек, Исанова/Рыскулова",$ 135 000,11 448 000 сом,$ 1 080/м2,91 584 сом/м2,Добавлено 5 месяцев назад,Поднято 16 часов назад,632,от агента,кирпичный,5 этаж из 9,,125 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,,"""42.8785""","""74.6047""",https://www.house.kg/details/10276195f8e898d942060-66940898
"2-комн. кв., 65 м2","Бишкек, Киевская/ул. Уметалиева",$ 68 000,5 766 400 сом,$ 1 046/м2,88 714 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,322,от агента,"монолитный, 2015 г.",8 этаж из 10,,65 м2,,элитка,центральное,евроремонт,,,раздельный,лоджия,,,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
продается 2х ком кв 65 м2 на 8/10 эт. ЖК "" Шангри-Ла ""большие лоджии 
Квартира с ремонтом . ВСЯ МЕБЕЛЬ ОСТАЕТСЯ.
","""42.876""","""74.5807""",https://www.house.kg/details/65571395ff81d9de782c9-74504022
"Участок, 12 соток","Бишкек, Киргизия 1 ж/м",$ 140 000,11 872 000 сом,,,Добавлено 3 месяца назад,Поднято 16 часов назад,828,от агента,,,,,12 соток,,,,,,,,,,"свет,                                             вода",вдоль трассы,,,,,,,,,,дом,,,,"

                                    Описание от продавца                            
Продается участок 12 соток. прямоугольный. на участке находится домик 70м2  можно под снос.
","""42.8212""","""74.5757""",https://www.house.kg/details/49555115ff817ec75e291-19262333
"2-комн. кв., 78.2 м2","Бишкек, Орозбекова",$ 78 200,6 631 360 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,409,от агента,"монолитный, 2020 г.",3 этаж из 14,,78.2 м2,,элитка,центральное,под самоотделку (псо),,,,,,паркинг,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 2х ком кв 78.2 м2 3/14 эт. ЖК "" Гранвиль "". СК "" Имарат Прогресс"". Коммуникации центральные.
В доме : интернет. консьерж. бесшумные скоростные лифты. 3х уровневая система безопасности. паркинг ( 2х уровневый ) + гостевой
","""42.8656""","""74.6019""",https://www.house.kg/details/4089875fe58149844241-13114642
"3-комн. кв., 101.45 м2","Бишкек, Орозбекова",$ 101 450,8 602 960 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 3 месяца назад,Поднято 16 часов назад,432,от агента,"монолитный, 2020 г.",3 этаж из 14,,101.45 м2,,элитка,центральное,под самоотделку (псо),,,,,,паркинг,,,,,,магистральный,,консьерж,,,3 м.,,,,,"

                                    Описание от продавца                            
Продается 3х ком кв ПСО 101.45 м2 на 3/14 эт .ЖК "" Гранвиль ""  Коммуникации центральные. В доме : интернет. консьерж. бесшумные скоростные лифты. 3х уровневая система безопасности. парковка ( 2х уровневая ) + гостевая
Цена - 1000 за м2
","""42.8656""","""74.6019""",https://www.house.kg/details/59499075fe5873792ad82-99954203
