title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Дом, 6 и более комнат, 150 м2","Бишкек, Иманалиева/Советская",$ 275 000,23 320 000 сом,$ 1 833/м2,155 467 сом/м2,Добавлено 6 месяцев назад,Поднято 16 часов назад,1054,от собственника,"кирпичный, 2018 г.",,,150 м2,20 соток,,на газе,евроремонт,есть,проводной,совмещенный,,,,,,септик,центральное водоснабжение,есть,магистральный,,видеодомофон,полностью меблирована,ламинат,2.6 м.,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес,                                             сауна",нет,нет,рассмотрю варианты,,"""42.8035""","""74.5885""",https://www.house.kg/details/49932765f7bfcc9dd9785-60344926
"3-комн. кв., 110 м2","Бишкек, Усенбаева 44",$ 130 000,11 024 000 сом,$ 1 182/м2,100 218 сом/м2,Добавлено 6 дней назад,Поднято 16 часов назад,29,от собственника,"монолитный, 2009 г.",6 этаж из 10,,"110 м2, жилая: 70 м2, кухня: 20 м2",,элитка,центральное,евроремонт,есть,adsl,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,паркет,3 м.,,,,,"

                                    Описание от продавца                            
Срочно продается 3 ком.кв. в центре города, по улице Усенбаева, ориентировочно Моссовет, общий площадь-110м2, 6/10 этаж, все коммуникации центральные, с дорогим дизайнерским ремонтом и дорогим мебелью
Цена:130000$ торг.
","""42.8694""","""74.6133""",https://www.house.kg/details/97574156054b7a4ca8b62-50969448
"2-комн. кв., 88 м2","Бишкек, Панфилова 145/Боконбаева",$ 63 000,5 342 400 сом,$ 716/м2,60 709 сом/м2,Добавлено 14 дней назад,Поднято 16 часов назад,104,от собственника,монолитный,3 этаж из 15,,"88 м2, жилая: 50 м2, кухня: 17 м2",,элитка,центральное,черновая отделка,нет,adsl,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,,пустая,плитка,3 м.,,,,,"

                                    Описание от продавца                            
Срочно продается 2 ком кв, Панфилова/Боконбаева,в золотом квадрате, общий площадь-88.3м2, 3 этаж, все коммуникации центральные, отопления центральная, 2 лифта работают, квартира с внутренним отделкой , стяжка,стены и потолки готовы для ремонта
Цена:63000$ по 720$ за квадрат метр, с учётом торга за наличку,
","""42.8652""","""74.6005""",https://www.house.kg/details/53076346049c4bcd1ff31-35306875
"Участок, 15 соток","Бишкек, Кок-Жар ж/м, ал 1",$ 120 000,10 176 000 сом,,,Добавлено 2 месяца назад,Поднято 16 часов назад,465,от собственника,,,,,15 соток,,,,,,,,,,"свет,                                             вода",вдоль трассы,,,,,,,,,,огорожен,,,,"

                                    Описание от продавца                            
Срочно продается 15 соток земли, 44 метра на 32 метра, огорожен заезд с двух сторон, участок угловой, от трассы 200 метров. Находится За Роял Фишом , поворот с арки, с. Бешкунгей, воду провели во внутрь участка и свет подключен, красная книга с назначением на индивидуальный жилой дом, можно построить Таунхаус, чистый воздух!!!
Цена:120000$
","""42.8434""","""74.6432""",https://www.house.kg/details/432570160155160b5e3e3-88309524
"2-комн. кв., 77 м2","Бишкек, Джантошова 9/Советская",$ 65 000,5 512 000 сом,$ 844/м2,71 584 сом/м2,Добавлено 1 день назад,Поднято 16 часов назад,22,от собственника,монолитный,7 этаж из 14,,"77 м2, жилая: 50 м2, кухня: 12 м2",,элитка,центральное,черновая отделка,есть,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"видеодомофон,                                             охрана,                                             видеонаблюдение",пустая,плитка,3 м.,,,,,"

                                    Описание от продавца                            
Срочно продается 2 ком кв ПСО, по Советской/Джантошова, общий площадь-77м2, 7/14, СК Борсан, Платинум, все окна смотрят на Советскую то есть на восток, санузел раздельный, 30% ЗАСЕЛЁН, дом полностью завершён, 
Видео наблюдения, охраняемая территория, на первом этаже консьерж.
Цена:65000$ торг. по 850$ квадрат метр
","""42.8443""","""74.6087""",https://www.house.kg/details/8955079605b047ad41130-86782876
"3-комн. кв., 123 м2","Бишкек, Джантошова 9/Советская",$ 92 000,7 801 600 сом,$ 748/м2,63 428 сом/м2,Добавлено 1 день назад,Поднято 16 часов назад,28,от собственника,монолитный,8 этаж из 14,,"123 м2, жилая: 70 м2, кухня: 16 м2",,элитка,центральное,черновая отделка,есть,adsl,2 с/у и более,лоджия,бронированная,паркинг,,,,,,магистральный,,"охрана,                                             видеонаблюдение,                                             консьерж",пустая,плитка,3 м.,,,,,"

                                    Описание от продавца                            
Срочно продается 3 ком кв ПСО, по Советской/Джантошова, общий площадь-123м2, 8/14, СК Борсан, Платинум, все окна смотрят на Советскую то есть на восток, санузел раздельный, 30% ЗАСЕЛЁН, дом полностью завершён, 
Видео наблюдения, охраняемая территория, на первом этаже консьерж.
Цена:92000$ торг. по 750$ квадрат метр
","""42.8443""","""74.6087""",https://www.house.kg/details/4168708605b1400277bf6-45403198
"2-комн. кв., 75.08 м2",Бишкек,$ 48 802,4 138 410 сом,$ 650/м2,55 120 сом/м2,Добавлено 8 месяцев назад,Поднято 16 часов назад,907,от агента,"монолитный, 2022 г.",3 этаж из 12,,75.08 м2,,элитка,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Квартиры от застройщика ""КреаКон"" в новом ЖК комфорт класса ""Теплый Стан"" .Южная часть города. РЯДОМ СО ШКОЛОЙ ""ГАЗПРОМ"". УЧАСТОК 0.35ГА. МОНОЛИТ-К ИРПИЧ. 12 ЭТАЖЕЙ. 3 БЛОКА.
1КОМ. - ОТ 41.38КВ.М. ДО 55.63 КВ.М.
2 КОМ - ОТ 75.08 КВ.М. ДО 81.68 КВ.М.
3 КОМ. - ОТ 82.23 КВ. М. ДО 103.36 КВ. М.
ЕСТЬ ВОЗМОЖНОСТЬ ОБЪЕДИНЕНИЯ КВАРТИР В 4-Х. И 5-ТИ КОМНАТНЫЕ. ПОДЗЕМНЫЙ ПАРКИНГ НА 40 АВТО.ГАЗИФИКАЦИЯ. ЦЕНТРАЛЬНОЕ ВОДОСНАБЖЕНИЕ М КАНАЛИЗАЦИЯ. СОБСТВЕННЫЙ ТРАНСФОРМАТОР ЭЛЕКТРОСНАБЖЕНИЯ. ФАСАД ГРАНИТ. ТРАВЕНТИН. КЕРАМОГРАНИТ. 2 ЛИФТА ""ФУДЖИ"". ЗАКРЫТЫЙ . ОХРАНЯЕМЫЙ . БЛАГОУСТРОЕННЫЙ ДВОР. СПОРТИВНАЯ И ДЕТСКАЯ ПЛОЩАДКИ.
1 - ЭТАЖ КОММЕРЧЕСКИЕ ПОМЕЩЕНИЯ.
ЦЕНА 750 ЗА КВ. М.
ИНДИВИДУАЛЬНЫЙ ПОДХОД К КАЖДОМУ КЛИЕНТУ.
СРОК СДАЧИ В ЭКСПЛУАТАЦИЮ 1 ПОЛУГОДИЕ 2022 ГОДА
","""42.8168""","""74.6108""",https://www.house.kg/details/76644325f2ce91e6cfae3-39521572
"1-комн. кв., 70.52 м2","Бишкек, пр. Ч.Айтматова - Масалиева",$ 37 400,3 171 520 сом,$ 530/м2,44 973 сом/м2,Добавлено 7 месяцев назад,Поднято 16 часов назад,896,от агента,"монолитный, 2022 г.",3 этаж из 9,,70.52 м2,,108 серия,автономное,под самоотделку (псо),,,,балкон,бронированная,,,,,,,автономный,,,,,2.8 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
такого еще не было. жилой комплекс""Молодежный Квартал"" от строительной компании""Делюр"" . это новые дома 108 серии. от 530 за м2.  адрес ул. Душанбинская\ 
Юж.Магистраль.
1- ком.кв. с балконом : 46.15м2. 48.12 м2. 
1 ком.кв. с дополнительной комнатой и балконом - 57.95 м 2
2-х ком. кв. 70.52 м 2
2-х. ком.  кв.с доп.ком. -83.23 м2.
3-х. ком.кв.с доп . ком. - 107.37 м 2.
цена от 530 за м 2
отличительные особенности: 
увеличение полезной площади
внутренняя система утепления наружных стен
удобный подъем лифта от нулевого этажа. что очень важно для людей с ограниченными возможностями. мам с 
детьми и пожилых родителей
строительство с использованием современных технологий.
участок 3 гектара с застройкой 30%. Все остальное на благоустройство внутренней инфраструктуры комплекса
расположение в экологической зоне.
расстояние между домами 27 метров.
доступная стоимость жилья
рассрочка от 6 до 36 месяцев. в зависимости от блока
так же действует бартер
","""42.8249""","""74.591""",https://www.house.kg/details/75500445f4601567c4e48-79284602
"2-комн. кв., 75.06 м2","Бишкек, Асанбай м-н, Сухе - Батора/Токонбаева",$ 67 554,5 728 579 сом,$ 900/м2,76 320 сом/м2,Добавлено 2 месяца назад,Поднято 16 часов назад,320,от агента,"монолитный, 2021 г.",6 этаж из 8,,75.06 м2,,элитка,центральное,под самоотделку (псо),,,раздельный,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
продается 2х ком кв 75.06 м2 на 6/8 эт. под ПСО. СК Элит Хаус
ЖК Итальянский квартал. 
Сдача под ПСО 3 квартал 2021г. 
Цена 900 за м2
","""42.8181""","""74.6164""",https://www.house.kg/details/169566960053b31246245-47290056
"Дом, 5-комн., 270 м2","Бишкек, Жигулевская/Юнусалиева",$ 250 000,21 200 000 сом,$ 926/м2,78 519 сом/м2,Добавлено 2 месяца назад,Поднято 16 часов назад,440,от агента,кирпичный,,2,270 м2,4.2 соток,,смешанное,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,линолеум,,,,,,"

                                    Описание от продавца                            
продается 2х эт дом + цоколь.
 в доме 5 комнат + с /узел. площадь 270 м2 
 участок 4.2 м2
так же имеется
 действующая летняя площадка( кафе )
","""42.8463""","""74.6217""",https://www.house.kg/details/624023260052d585e8691-63110588
