title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 64 м2","Бишкек, Старый аэропорт",$ 37 760,3 202 048 сом,$ 590/м2,50 032 сом/м2,Добавлено 4 часа назад,,138,от собственника,"кирпичный, 2021 г.",6 этаж из 10,,64 м2,,элитка,,недостроено,,,,,бронированная,паркинг,,,,,,,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",,,,,,есть,,"

                                    Описание от продавца                            
Продается 2 комн.кв 64кв.м. ПСО
Элитный Турецкий проэкт
Район старого аэропорта
Здание в процессе строительства
Окна НЕ пластиковые - алюминиевые
Входная дверь бронированная из Турции
","""42.8409""","""74.5806""",https://www.house.kg/details/4833638605c86d4639cd0-90095294,
"3-комн. кв., 105 м2","Бишкек, Манасчы Сагымбая 131/Тоголок Молдо",$ 73 000,6 190 400 сом,$ 695/м2,58 956 сом/м2,Добавлено 3 дня назад,Поднято 2 дня назад,1594,от собственника,монолитный,10 этаж из 14,,"105 м2, жилая: 53 м2, кухня: 17 м2",,элитка,центральное,под самоотделку (псо),,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,,,,3.1 м.,,,,,"

                                    Описание от продавца                            
Срочно продаю 3х комнатную квартиру в центре 105м².
Застройщик: Строительная Компания ""Charoit"" 
Дом находится в центре города на пересечении улиц Тоголока Молдо и Токтогула (Манасчы Сагымбая 135).
14 этажный кирпичный дом премиум класса со всеми коммуникациями: свет, центральное отопление, горячая и холодная водоснабжения, газ.
Гостевой и подземный паркинг, детская площадка.
Псо 3квартал 2021г.
","""42.8719""","""74.594""",https://www.house.kg/details/323203605867e5d63cb6-64033005,
"2-комн. кв., 57 м2","Бишкек, Золотой квадрат, Панфилов 173/Московская",$ 45 000,3 816 000 сом,$ 789/м2,66 947 сом/м2,Добавлено 14 дней назад,,4592,от собственника,кирпичный,5 этаж из 5,,57 м2,,индивид. планировка,центральное,хорошее,возможно подключение,проводной,раздельный,лоджия,деревянная,рядом охраняемая стоянка,,,,,,магистральный,,домофон,частично меблирована,линолеум,2.75 м.,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю не спеша. Собственник
","""42.8706""","""74.601""",https://www.house.kg/details/91008696049c61b3923c2-84599087,
"Дом, 4-комн., 103 м2","Бишкек, Уч-Терекский 17",$ 69 000,5 851 200 сом,$ 670/м2,56 808 сом/м2,Добавлено 1 год назад,Поднято 1 месяц назад,19430,от собственника,кирпичный,,1,103 м2,2 соток,,смешанное,евроремонт,возможно подключение,проводной,совмещенный,,,,,,септик,центральное водоснабжение,есть,магистральный,,"решетки на окнах,                                             сигнализация",полностью меблирована,ламинат,2.86 м.,пластиковые окна,,,,"

                                    Описание от продавца                            
Продаю дом с ремонтом и мебелью
","""42.8513""","""74.5678""",https://www.house.kg/details/93929625e451f1aec4864-32012312,
"Дом, 5-комн., 100 м2","Бишкек, зулайка",$ 55 000,4 664 000 сом,$ 550/м2,46 640 сом/м2,Добавлено 23 дня назад,Поднято 2 часа назад,120,от собственника,кирпичный,,1,100 м2,4 соток,,смешанное,хорошее,нет,,нет,,,,,,септик,центральное водоснабжение,есть,возможно подключение,,решетки на окнах,пустая,дерево,3 м.,"пластиковые окна,                                             баня,                                             хозпостройки,                                             веранда,                                             3 фазы",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продается кирпичный дом в ж/м  Бакай-Ата.
5жил.комнат, коридор, прихожка.
Дом кирпичный, состояние отличное.
Есть времянка из 2комнат. 
4сот.уч. Все необх.док.есть.
55 000долл. 0707 30 21 21
","""42.9059""","""74.6456""",https://www.house.kg/details/283014603dddb022e297-95101524,
"2-комн. кв., 43 м2","Бишкек, 6 м-н",$ 37 500,3 180 000 сом,$ 872/м2,73 953 сом/м2,Добавлено 21 день назад,Поднято 5 часов назад,244,от собственника,монолитный,3 этаж из 4,,43 м2,,104 серия,центральное,требует ремонта,возможно подключение,проводной,совмещенный,лоджия,деревянная,паркинг,,,,,,магистральный,,,,дерево,,,,,обмен не предлагать,"

                                    Описание от продавца                            
2комнатная квартира 6мкр, 3/4, комнаты изолированны, не угловая, просторная лоджия, очень тёплая квартира, солнечная сторона, все документы на руках
","""42.8278""","""74.6302""",https://www.house.kg/details/23128496041b50b5c7433-53712020,
"2-комн. кв., 43 м2","Бишкек, Панфилова",$ 30 000,2 544 000 сом,$ 698/м2,59 163 сом/м2,Добавлено 1 день назад,Поднято 5 часов назад,222,от собственника,"кирпичный, 1965 г.",2 этаж из 4,,43 м2,,хрущевка,центральное,требует ремонта,есть,,,балкон,,,,,,,,магистральный,,домофон,,,,тихий двор,нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Двухкомнатная квартира, район магазина ""Космос"".
Общая площадь 43 квадратных метров.
на 2 этаже из 4х. “Хрущевка”

• 1 балкон из зала
• коммуникации все центральные
• кодовый домофон
• детская игровая зона, тихий район
• экологически чистый район, свежий воздух

В шаговой доступности:
• Парк Ата-Тюрк
• Набережная реки Ала-Арча
• Вузы: Мед. академия, КГМА, лицей КГМА
• Школы: 61 школа, «Гимназия №48», «Акылтай», “Илим”
• Частная школа QSI INT. SHOOL OF BISHKEK, Гимназия
• Детский сады: « Журавушка», «94», «Акылтай» «5», «78»
• Аптеки, магазины, поликлиника, почта, базарчик
","""42.8501""","""74.5982""",https://www.house.kg/details/177725605b52c6589534-04189386,
"2-комн. кв., 72.7 м2","Бишкек, Джал 15 м-н, Каперника",$ 59 500,5 045 600 сом,$ 818/м2,69 403 сом/м2,Добавлено 2 дня назад,,1171,от агента,"кирпичный, 2019 г.",3 этаж из 7,,"72.7 м2, жилая: 43.7 м2, кухня: 15.8 м2",,элитка,центральное,евроремонт,возможно подключение,,,лоджия,,,,,,,,магистральный,,"домофон,                                             видеонаблюдение",частично меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             комнаты изолированы,                                             встроенная кухня",,,,"

                                    Описание от продавца                            
Срочно Продаю шикарную элитную 2-х ком кв в мкр Джал
Общ. площадь- 72,7 м2
Этажность - 3 из 7 
Тип строения - железо-бетонный каркас,
Стены - жженный кирпич
Год постройки-2019
Окна смотрят на запад-восток, 
В квартире есть две лоджии со спальни и кухни, 
Сделан отличный евроремонт в светлых тонах (делали для себя)
Все коммуникации центральные!

Все документы в порядке!
 
В двух минутах ходьбы находится  Школа-гимназия №72 им. А. Сыдыкова
В шаговой доступности университет Манас    
Рядом: Магазин Фрунзе, кафе, рестораны, велодорожки, аллеи для прогулки и  мн. другое
Очень развитая транспортная развязка, 

Очень тихий и спокойный район!

Цена 59500$ с торгом!
","""42.8461""","""74.5624""",https://www.house.kg/details/8134721605981b96d7899-97978565,
"2-комн. кв., 46 м2","Бишкек, ЦУМ, Гоголя/Фрунзе",$ 43 000,3 646 400 сом,$ 935/м2,79 270 сом/м2,Добавлено 2 месяца назад,Поднято 3 дня назад,4365,от собственника,панельный,5 этаж из 5,,46 м2,,104 серия,центральное,хорошее,есть,проводной,совмещенный,балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,домофон,полностью меблирована,линолеум,,"кондиционер,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю двухкомнатную квартиру в центре города, в хорошем районе, этаж 5/5, 104 серия, с ремонтом, в квартире остаётся вся обстановка и мебель (забираю только личные вещи) 

Квартира светлая очень теплая и уютная.
Хорошая инфраструктура, транспортная развязка, в двух минутах ходьбы ЦУМ, площадь Победы. Рядом гипермаркет «Фрунзе», Цирк, школа, аптека, ЦУМ, ГУМ, 1000 мелочей, мечеть, Дордой Плаза все в шаговой доступности.

Заходите и живите, все сделано со вкусом и с любовью.
Свободная продажа, один собственник, квартира без посредников!

Торг после осмотра, реальному покупателю уступлю.
Риэлторам просьба не беспокоить!

Цена: 43 000$

тел 0550 77 11 61
","""42.8816""","""74.6193""",https://www.house.kg/details/5957793601a539478aa47-90657997,
"3-комн. кв., 97 м2","Бишкек, Восток-5 м-н, Чуй 99/1 99/1/Алматинка",$ 72 000,6 105 600 сом,$ 742/м2,62 944 сом/м2,Добавлено 29 дней назад,Поднято 14 часов назад,1188,от собственника,"монолитный, 2017 г.",10 этаж из 10,,97 м2,,элитка,центральное,хорошее,нет,,раздельный,балкон,,паркинг,,,,,,,,"домофон,                                             видеонаблюдение",полностью меблирована,,,,,,,,"""42.876""","""74.6392""",https://www.house.kg/details/94610516036950d00b346-68972739,
