title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Коммерческая недвижимость, 400 м2","Бишкек, Пишпек ж/м, Гагарина 111/Баха",$ 200 000,16 960 000 сом,$ 500/м2,42 400 сом/м2,Добавлено 22 дня назад,Поднято 10 часов назад,96,от собственника,"кирпичный, 2015 г.",,2,400 м2,10 соток,,на твердом топливе,,,,,,,,,,,,,,,,,,,,,есть,,"

                                    Описание от продавца                            
Продается  действующий детский сад с земельным участком мерою 10 соток. Общая площадь детского садика – 300 кв.м + жилой дом с общей площадью 100 кв.м. Есть права частной собственности на недвижимость. Срок существования Бизнеса более 4 года. 
Детский сад полностью оборудован и мебелирован. Вся мебель и оборудование детского сада изготовлены из качественного материала. Имеет круг постоянных клиентов.
Квалифицированный персонал — 4 постоянных, 5 приходящих
Документации: лицензия на право ведения образовательной деятельности
Среднемесячный доходы — 300 000 сомов
Среднемесячный расходы — 153 300 сомов
Среднемесячная чистая прибыль — 146 700 сомов

	Причина продажи Бизнеса — концентрация на другом бизнесе.
	Общая цена за бизнес — 200000$

	Для получения подробной информации, свяжитесь с прямым представителем 	собственника: +996509141412, +996552140612.
","""42.852""","""74.5514""",https://www.house.kg/details/6234298603f4672eb3627-68516699
"3-комн. кв., 81 м2","Бишкек, Асанбай м-н, Асамбай",$ 100 000,8 480 000 сом,$ 1 235/м2,104 691 сом/м2,Добавлено 4 дня назад,Поднято 10 часов назад,255,от собственника,панельный,3 этаж из 9,,81 м2,,106 серия,центральное,евроремонт,есть,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             видеонаблюдение",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
продается 3-х комнатная квартира +сушилка 3-й этаж не угловая со всеми коммуникациями с евро ремонтом утепленная очень теплая теплые полы видео наблюдение кондиционер и т.д очень много всего дополнительная информация по тел:0555028899 W/A 0555579966 агенства просьба не беспокоить
","""42.8217""","""74.6195""",https://www.house.kg/details/352288960570d53192436-64820032
"3-комн. кв., 58 м2","Бишкек, 9 м-н",$ 44 500,3 773 600 сом,$ 767/м2,65 062 сом/м2,Добавлено 1 месяц назад,Поднято 10 часов назад,130,от агента,панельный,3 этаж из 4,,58 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю 3 ком. кв. в 9 мкр. Советская/Донецкая. 104 серия. 58 м^2. 3 этаж.

НЕ УГЛОВАЯ. Обмен не рассматривается.
Квартира чистая. Зимой теплая. Все документы в порядке. Все в шаговой доступности. Рядом есть базарчик, ""Народный"", школа №62, несколько детских садов, 3-я детская больница.   цена 44500
","""42.835""","""74.606""",https://www.house.kg/details/50217360334845d44412-83166049
"2-комн. кв., 61 м2","Бишкек, Верхний Джал м-н",$ 52 000,4 409 600 сом,$ 852/м2,72 289 сом/м2,Добавлено 28 дней назад,Поднято 10 часов назад,131,от агента,"кирпичный, 2016 г.",4 этаж из 10,,61 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2х 
Количество комнат: 2х 
Адрес: В  Верхнем Джале
Застройщик: Байтур 
Год постройки: 2016
Серия: новостройка
Этаж:  4 из 10
Площадь:  61м²
Комуникации: центральные
Состояние: хорошее
Документы: техпаспорт
Цена:52000$ 

В шаговой доступности
Транспортная развязка развита
Контакты:
","""42.8361""","""74.5672""",https://www.house.kg/details/7765591603760055b91a3-95242405
"2-комн. кв., 64 м2","Бишкек, Джал-29 м-н",$ 51 000,4 324 800 сом,$ 797/м2,67 575 сом/м2,Добавлено 28 дней назад,Поднято 10 часов назад,113,от агента,"кирпичный, 2018 г.",7 этаж из 9,,64 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 2-х комнатная квартира 
В элитном доме СК Асман Терек
Год постройки 2018 года  64м². 7 этаж из 9 дом с наружи полностью утеплён 
В квартире сделан качественный свежий ремонт.
Рядом школа #80, #95.
Все коммуникации центральные. Газ на стадии подключения до конца марта месяца подключат
Тех паспорт на руках в залоге нигде не состоится
Цена 51000
","""42.8339""","""74.5664""",https://www.house.kg/details/297150360375dcc79ff57-93441738
"2-комн. кв., 76 м2","Бишкек, Медерова/Карла Марса",$ 56 000,4 748 800 сом,$ 737/м2,62 484 сом/м2,Добавлено 22 дня назад,Поднято 10 часов назад,114,от собственника,кирпичный,9 этаж из 12,,76 м2,,элитка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2 ком.

Количество комнат: 2
Адрес: К.Марса/Медерова
Серия: Элитка
Этаж: 9 из 12
Застройщик:
Тип строения: Кирпичный
Площадь: 76м²
Комуникации: Центральные
Отопление: Центральное
Состояние: С ремонтом
Мебель: Пустая
Документы: На руках 
Цена: 56000$ Мини-торг

Контакты: 0505250003

Подробности: Дом находится в центре города, удобная транспортная развязка. Вокруг дома нет строящийхся объектов. Есть встроенная кухонная мебель. 



#кыргызстан#недвижимостьбишкек
#квартирабишкек#жилье#куплюпродам
#бишкек
","""42.8518""","""74.6245""",https://www.house.kg/details/2330062603f6fa0d3ac20-46448587
"3-комн. кв., 103 м2","Бишкек, 5 м-н, 5 мкр., дом 19/3",$ 87 000,7 377 600 сом,$ 845/м2,71 627 сом/м2,Добавлено 28 дней назад,Поднято 10 часов назад,157,от агента,"кирпичный, 2015 г.",8 этаж из 10,,103 м2,,элитка,,евроремонт,,,раздельный,балкон,,,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок",частично меблирована,,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             тихий двор",нет,нет,,"

                                    Описание от продавца                            
Продается 3х комнатная квартира
СК: МН Капитал Строй 
ЖК Бешик Ордо
Год постройки: 2015
Площадь (м. кв.):103
Этаж:8/10
Тип здания:Новостройка
Серия: Элитка
Состояние:С ремонтом
Коммуникации: центральные 
Район:Ортосайский рынок
Южные микрорайоны
Цена: 87000$ 

Дополнительно:Стены кирпичные
высота потолка 3м
теплые полы.
Не угловая, солнечная
просторные , светлые комнаты.
Частично с мебелью.
Газифицирован.
Центральная коммуникация.
Безшумные лифты, видеонаблюдения
закрытый двор с детской площадкой, зона отдыха .Зона барбекю(барбекю и очоки)
престижный, тихий район. Рядом 2 гос и 2 частных детских сада, 3  школы, поликлиника, торговые центры ""космопарк"" и "" бета сторес2"" орто- сайский рынок и т.Д
","""42.834""","""74.6262""",https://www.house.kg/details/8106675603733331ee5f6-10495833
"4-комн. кв., 100 м2","Бишкек, 7 м-н",$ 66 500,5 639 200 сом,$ 665/м2,56 392 сом/м2,Добавлено 2 месяца назад,Поднято 10 часов назад,284,от агента,панельный,1 этаж из 9,,100 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 4-комнатная квартира в 7 мкр
106 серия
Общая площадь- 100м2
Этаж- 1/9
Не угловая
Лоджия имеется
Все коммуникации центральные
Мебель частично 
Цена:66500$
","""42.8304""","""74.6159""",https://www.house.kg/details/546280601e5d603d3df9-38003856
"3-комн. кв., 63 м2","Бишкек, 7 м-н",$ 54 000,4 579 200 сом,$ 857/м2,72 686 сом/м2,Добавлено 2 месяца назад,Поднято 10 часов назад,273,от собственника,панельный,1 этаж из 9,,63 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3х ком. кв.

Количество комнат: 3
Адрес: 7 микрорайон
Серия: 106
Этаж:  1 из 9
Площадь: 63м²
Комуникации: Центральные
Состояние: Хорошее
Мебель: Частично
Документы: На руках
Цена: 54000$

Подробности:  Не угловая , частично останется мебель и бытовая техника, пластиковые окна,пол ламинат, состояние всё как на фото ,не утеплена,но теплая квартира . Торг уместен,при осмотре

В шаговой доступности: Ортосайский рынок, Бета-Сторес, Космопарк,магазины ,школы ,дет.сады и.т.д.
Транспорт во все стороны города
 
Контакты: 0505250003
","""42.8341""","""74.6193""",https://www.house.kg/details/5172556600919b0b5e4f2-62306046
"3-комн. кв., 80 м2","Бишкек, Джал-29 м-н",$ 58 500,4 960 800 сом,$ 731/м2,62 010 сом/м2,Добавлено 2 месяца назад,Поднято 10 часов назад,231,от агента,кирпичный,4 этаж из 9,,80 м2,,элитка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 3-комнатная квартира в Джале
Застройщик-СК Мунара строй
Общая площадь- 80м2
Этаж- 4/9
Лоджия имеется
Всё коммуникации имеются
Мебель частично 
На кухне мебель остаётся.
Цена:58500$
","""42.8313""","""74.5667""",https://www.house.kg/details/822070601e5a86b05684-40520804
"3-комн. кв., 103 м2","Бишкек, 5 м-н, 5 мкр., дом 19/3",$ 87 000,7 377 600 сом,$ 845/м2,71 627 сом/м2,Добавлено 28 дней назад,Поднято 10 часов назад,159,от агента,"кирпичный, 2015 г.",8 этаж из 10,,103 м2,,элитка,,евроремонт,,,раздельный,балкон,,,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок",частично меблирована,,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             тихий двор",нет,нет,,"

                                    Описание от продавца                            
Продается 3х комнатная квартира
СК: МН Капитал Строй 
ЖК Бешик Ордо
Год постройки: 2015
Площадь (м. кв.):103
Этаж:8/10
Тип здания:Новостройка
Серия: Элитка
Состояние:С ремонтом
Коммуникации: центральные 
Район:Ортосайский рынок
Южные микрорайоны
Цена: 87000$ 

Дополнительно:Стены кирпичные
высота потолка 3м
теплые полы.
Не угловая, солнечная
просторные , светлые комнаты.
Частично с мебелью.
Газифицирован.
Центральная коммуникация.
Безшумные лифты, видеонаблюдения
закрытый двор с детской площадкой, зона отдыха .Зона барбекю(барбекю и очоки)
престижный, тихий район. Рядом 2 гос и 2 частных детских сада, 3  школы, поликлиника, торговые центры ""космопарк"" и "" бета сторес2"" орто- сайский рынок и т.Д
","""42.834""","""74.6262""",https://www.house.kg/details/8106675603733331ee5f6-10495833
"4-комн. кв., 100 м2","Бишкек, 7 м-н",$ 66 500,5 639 200 сом,$ 665/м2,56 392 сом/м2,Добавлено 2 месяца назад,Поднято 10 часов назад,286,от агента,панельный,1 этаж из 9,,100 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 4-комнатная квартира в 7 мкр
106 серия
Общая площадь- 100м2
Этаж- 1/9
Не угловая
Лоджия имеется
Все коммуникации центральные
Мебель частично 
Цена:66500$
","""42.8304""","""74.6159""",https://www.house.kg/details/546280601e5d603d3df9-38003856
"3-комн. кв., 63 м2","Бишкек, 7 м-н",$ 54 000,4 579 200 сом,$ 857/м2,72 686 сом/м2,Добавлено 2 месяца назад,Поднято 10 часов назад,275,от собственника,панельный,1 этаж из 9,,63 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3х ком. кв.

Количество комнат: 3
Адрес: 7 микрорайон
Серия: 106
Этаж:  1 из 9
Площадь: 63м²
Комуникации: Центральные
Состояние: Хорошее
Мебель: Частично
Документы: На руках
Цена: 54000$

Подробности:  Не угловая , частично останется мебель и бытовая техника, пластиковые окна,пол ламинат, состояние всё как на фото ,не утеплена,но теплая квартира . Торг уместен,при осмотре

В шаговой доступности: Ортосайский рынок, Бета-Сторес, Космопарк,магазины ,школы ,дет.сады и.т.д.
Транспорт во все стороны города
 
Контакты: 0505250003
","""42.8341""","""74.6193""",https://www.house.kg/details/5172556600919b0b5e4f2-62306046
"3-комн. кв., 80 м2","Бишкек, Джал-29 м-н",$ 58 500,4 960 800 сом,$ 731/м2,62 010 сом/м2,Добавлено 2 месяца назад,Поднято 10 часов назад,235,от агента,кирпичный,4 этаж из 9,,80 м2,,элитка,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 3-комнатная квартира в Джале
Застройщик-СК Мунара строй
Общая площадь- 80м2
Этаж- 4/9
Лоджия имеется
Всё коммуникации имеются
Мебель частично 
На кухне мебель остаётся.
Цена:58500$
","""42.8313""","""74.5667""",https://www.house.kg/details/822070601e5a86b05684-40520804
"Дом, 5-комн., 120 м2","Бишкек, Алтын-Ордо ж/м",$ 98 000,8 310 400 сом,$ 817/м2,69 253 сом/м2,Добавлено 6 месяцев назад,Поднято 10 часов назад,723,от собственника,"кирпичный, 2018 г.",,2,120 м2,4.5 соток,,на твердом топливе,хорошее,,,совмещенный,,,,,,септик,центральное водоснабжение,есть,,,,полностью меблирована,,,,есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю дом с мансардом
Алтын ордо
120 кв2м
5 комнат
Крыша утеплена базалит
2018 году был заселён
Есть подвал
Полностью мебилирована
Красная книга
Ашкана
Очок
Огород
Навес металлический 
С ремонтом
98000$
Участок 4.5 соток
Ширина 18
Длина 25
","""42.8498""","""74.6741""",https://www.house.kg/details/17067275f5f3e748a0050-56899436
"3-комн. кв., 58 м2","Бишкек, 4 м-н",$ 47 500,4 028 000 сом,$ 819/м2,69 448 сом/м2,Добавлено 4 месяца назад,Поднято 10 часов назад,501,от агента,панельный,3 этаж из 4,,58 м2,,104 серия,центральное,хорошее,,,совмещенный,застекленный балкон,бронированная,паркинг,,,,,,магистральный,,,частично меблирована,ламинат,,,,,,"

                                    Описание от продавца                            
Продаю 3 ком.

Количество комнат: 3
Адрес: 4 микрорайон
Серия: 104
Этаж: 3 из 4
Тип строения: Панельный
Площадь: 58м²
Комуникации: Центральные
Состояние: Хорошее
Мебель: Частично мебелирована
Документы: На руках
Цена: 48500$

Подробности: Не угловая, после ремонта, теплая. Заменены трубы и вся проводка. Окна двери заменены включительно. Входная дверь бронированная.

Контакты: 0505250003
","""42.8393""","""74.6229""",https://www.house.kg/details/5927225fc730efeff8c6-75293804
"3-комн. кв., 79 м2",Бишкек,$ 66 500,5 639 200 сом,$ 842/м2,71 382 сом/м2,Добавлено 1 месяц назад,Поднято 10 часов назад,219,от агента,панельный,4 этаж из 5,,79 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3х ком.кв 
Площадь (м. кв.):79
Этаж:4/5
Тип здания:Вторичное жилье
Состояние:С ремонтом
Район:Филармония
Уютная 3-х квартира в центре города по адресу: Уметалиева 81(перес. ул. Токтогула).
Чешский проект. Кирпичный дом.
Квартира очень тёплая, не угловая, сделан евро ремонт, продаём с кухонной мебелью и спальним гарнитуром.
105 серия, 4 этаж из 5
Комнаты просторные, изолированные.
Все коммуникации.
Окна выходят на восток и на запад.
Двор огороженный, зеленый, ухоженный, чистый, большой. Игровая площадка имеется.
Рядом школа, супермаркеты, садик, удобная транспортная доступность.
Рассмотрим варианты.
Цена: 66500$
","""42.8739""","""74.5815""",https://www.house.kg/details/304099860279475373bc6-06916258
"4-комн. кв., 81 м2","Бишкек, 12 м-н",$ 63 000,5 342 400 сом,$ 778/м2,65 956 сом/м2,Добавлено 3 месяца назад,Поднято 10 часов назад,465,от собственника,панельный,6 этаж из 9,,81 м2,,105 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3+сушилка ком.

Количество комнат: 4
Адрес: 12 микрорайон
Серия: 105
Этаж: 6 из 9
Тип строения: Панельный
Площадь: 81м²
Комуникации: Центральные
Состояние: Хорошее
Мебель: Частично мебелирована
Документы: На руках
Цена: 63000$

Подробности: В спальном тихом районе. Сушилка узаконена, в сушилке есть отопление. Кухня расширена за счёт лоджии. На окнах решетки. Абсолютно все в шаговой доступности. Юридически чистая.
","""42.8151""","""74.6345""",https://www.house.kg/details/45224385fd73bc7573a38-80739236
