title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"3-комн. кв., 80 м2",Бишкек,$ 66 000,5 596 800 сом,$ 825/м2,69 960 сом/м2,Добавлено 21 день назад,Поднято 1 день назад,94,от агента,кирпичный,2 этаж из 5,,80 м2,,индивид. планировка,центральное,хорошее,,adsl,раздельный,,,гараж,,,,,,магистральный,,,пустая,,,,,,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру в Вефа центр
Индивидуальный проект, 
Общая площадь- 80м2
Этаж-2/5
Не угловая
Хорошее состояние,
Без мебели
Вся инфраструктура в шаговой доступности 
Удобная транспортная развязка 
Цена: 72000$
","""42.857""","""74.6099""",https://www.house.kg/details/41063066040766bc9f762-18274801,
"2-комн. кв., 48 м2","Бишкек, Кок-Жар м-н",$ 34 000,2 883 200 сом,$ 708/м2,60 067 сом/м2,Добавлено 2 месяца назад,Поднято 1 день назад,272,от агента,кирпичный,3 этаж из 5,,48 м2,,элитка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
2ком Студийная 48м2 3/5  мкр Кок Жар  сК ""Ортехстрой""
","""42.8501""","""74.6319""",https://www.house.kg/details/9765030600fc9dea9ac50-44360464,
"Дом, 5-комн., 280 м2",Бишкек,$ 135 000,11 448 000 сом,$ 482/м2,40 886 сом/м2,Добавлено 9 месяцев назад,Поднято 1 день назад,1837,от собственника,"кирпичный, 2000 г.",,2,280 м2,4.2 соток,,смешанное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю Дом в Южной части города
ул.Матросова//Джантошева

Год постройки - 2000.
Общая площадь - 280м2.
Этаж - 2+цоколь.
Тип строения - кирпич.
Документы - техпаспорт.
Участок - 4.2сотых красная книга.
Количетсво комнат - 5.

3 спальни на 2м этаже+2санузла
На 1м этаже Кухня+столовая
Гостиная и Гостевая комната+2саузла
Комуникации - центральные.
Отопление - газ,электро,уголь.

Цена - $135000
Тел. - 0550900700,0221900900
Вся инфраструктура в шаговой доступности. Транспорт во все стороны города.
","""42.8465""","""74.6197""",https://www.house.kg/details/48714255ef880c6c031c7-71658304,
"1-комн. кв., 39 м2","Бишкек, Аламедин-1 м-н",$ 33 000,2 798 400 сом,$ 846/м2,71 754 сом/м2,Добавлено 1 день назад,,12,от собственника,кирпичный,9 этаж из 11,,39 м2,,элитка,,хорошее,,,,,,,,,,,,,,,,,,,,,рассмотрю варианты,,"""42.8776""","""74.6921""",https://www.house.kg/details/3922501605ae43658a449-97303588,
"Коммерческая недвижимость, 750 м2",Бишкек,$ 1 100 000,93 280 000 сом,$ 1 467/м2,124 373 сом/м2,Добавлено 9 месяцев назад,Поднято 1 день назад,1276,от собственника,"кирпичный, 2005 г.",,3,750 м2,10 соток,,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю Здание Административного назначения.
Здание находится в центре города,расположение внутриквартальтное.



Год постройки-2005.
Общая площадь 750м2.
Документы - техпаспорт
Участок -10сотых Красная книга.
Здание полностью готова к эксплуатации
Участок полностью огорожен пескоблоком.
Видео наблюдение 24/7,сигнализация,охранно-пропускной пункт,
парковочные места.
Здание можно использовать для офиса,мед центра,гостиницы,посольства,школы,детского сада,международного представительства.



Цена $1100.000
Тел.-0550900700,0221900900
Вся инфраструктура в шаговой доступности.
Транспорт во все стороны города
","""42.847""","""74.6101""",https://www.house.kg/details/99116885ee7103f23e103-46892405,
"2-комн. кв., 70 м2","Бишкек, Цирк/Дворец бракосочетания",$ 73 000,6 190 400 сом,$ 1 043/м2,88 434 сом/м2,Добавлено 1 день назад,,11,от собственника,кирпичный,7 этаж из 10,,70 м2,,элитка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю  2-х комнатную квартиру в центре Тыныстанова Жумабек  около бульвара Эркиндик
Количество  комнат – 2;
*Этаж – 7/10;
*Общая площадь – 70 кв.м;
*Состояние- элитка;
*Тип строения- кирпич;
*Санузел- раздельный;
*Мебель и техника остается
*Коммуникации –электричество, водопровод,газ, канализация, отопление
горячая вода.

*Дополнительно:
Район - тихий центр. Рядом МВД, бульвар Эркиндик. В 5 минутах ходьбы находится 27 школа, детский садик, национальный детский центр «Сейтек"", драмтеатр, ""Дубовый"" парк и т.д.
Застройщик- лучшая строительная компания ОАО ПСФ
«Бишкеккурулуш». Компания функционирует еще с
советских времен. Дом сдан в 2014 году.
Квартира очень теплая на 7 этаже 10-этажного кирпичного
дома.
В идеальном состоянии.
1 большая лоджия. Санузел раздельный (планировка прилагается).
Имеется гардеробная. Окна выходят во двор.
Полы -ламинат, керамогранит. В Гостиной потолок натяжной.
Центральные коммуникации.
Квартира продается с мебелью, бытовой техникой, коврами,
Хрустальными люстрами, шторами.
Цена - 73000 $. торг
ТЕЛ.0509999001.0995885558
","""42.8823""","""74.6097""",https://www.house.kg/details/5815662605ae430447ab6-40390399,
"3-комн. кв., 120 м2",Бишкек,$ 96 000,8 140 800 сом,$ 800/м2,67 840 сом/м2,Добавлено 8 месяцев назад,Поднято 1 день назад,1471,от агента,"кирпичный, 2018 г.",2 этаж из 10,,120 м2,,элитка,на газе,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру в 6мкр. по ул.Каралаева

Год постройки - 2018.
СК ""Азат строй"".
Общая площадь - 120м2.
Количество жилых комнат -3.
Серия - элитка
Этаж - 2/10
Лоджия -1.
Тип строения - кирпич.
Санузел - 2.
Комуникации - центральные.
Документы - долевое до конца Августа должны выдать техпаспорт.
Состояние - свежий ремонт.

Цена -$92000
Тел.- 055090700,0221900900
Вся инфраструктура в шаговой доступности.Транспорт во все стороны города
","""42.8251""","""74.6319""",https://www.house.kg/details/43400745f0eed9e5392b5-84709697,
"3-комн. кв., 94 м2",Бишкек,$ 82 000,6 953 600 сом,$ 872/м2,73 974 сом/м2,Добавлено 8 месяцев назад,Поднято 1 день назад,1054,от собственника,"кирпичный, 2015 г.",2 этаж из 10,,94 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру в Золотом квадрате
Манаса//Боконбаева

Год постройки - 2015.
Документы- техпаспорт на руках.
Количество жилых комнат - 3.
Общая площадь - 94м2.
Серия - элитка.
Этаж - 2/9
Тип строения - кирпич.
Санузел - совмещеный.
Комуникации - центральные.
Отопление - ТЕЦ.
Состояние - отличное.
Мебель - частично.

Цена - $82000
 Тел- 0550900700,0221900900

Рядом Школы гимназии #13 и #70
Вся инфраструктура в шаговой доступности.Транспорт во все стороны города
","""42.868""","""74.5858""",https://www.house.kg/details/98780315f2ced94c144b2-46681709,
"Участок, 7 соток","Бишкек, с. Чон-Арык",$ 62 000,5 257 600 сом,,,Добавлено 6 месяцев назад,Поднято 1 день назад,1483,от собственника,,,,,7 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю участок 
Район: Чон Арык (Государственная Резеденция)
Участок: 7 соток (в длину 57 метров, ширина 13)
Имеется природный газ, напор воды отличный проблем нет.
Есть прилегающий  участок 
напротив  участка,
можно использовать под паркинг, сад и прочее.
Чистый воздух и тишина гарантированно.
Транспортная развязка
До центра города 15 минут езды.
Так же есть Дом с ремонтом
3 спальни
+Кухня
+Зал
Для будущего строительства отличный вариант
Цена - $62000
Тел.- 0550900700,0221900900
","""42.7979""","""74.576""",https://www.house.kg/details/74427365f7857f4190a84-81895045,
"2-комн. кв., 68 м2","Бишкек, Алма-Атинская / Южная магистраль",$ 46 000,3 900 800 сом,$ 676/м2,57 365 сом/м2,Добавлено 5 месяцев назад,Поднято 1 день назад,796,от собственника,"панельный, 2016 г.",5 этаж из 9,,68 м2,,106 серия улучшенная,,,,,,,,,,,,,,,,,,,2.8 м.,,,,,"

                                    Описание от продавца                            
Продаю 2х комнатную квартиру в районе 
Алматинка//Юж. Магистраль
ЖК ""Сары - Челек""
Застройщик ""Аю Курулуш"".
Год постройки -2016.
Адрес ул. Конур Осмон дом 3.

Количество жилых комнат - 2.
Общая площадь - 68м2.
Этаж - 5/9.
Серия - 106улучшенная
Саузел - раздельный.
Лоджии - 3.
Квартира не угловая.
Тип постройки - панель.
Комуникации - центральные
Отпление -Автономное.
Состояние - Отличное.
Мебель - частично.
Цена -$46000
Тел.- 0550900700,0221900900

Дополнительно: Дом напротив Ботанического сада. Рядом садик, Школа,магазины,аптеки.
Транспорт; 110,223,200,199,378,215
","""42.8151""","""74.6478""",https://www.house.kg/details/75534685f9fb56cd6a979-96499886,
