Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
110.0,110000.0,74.5896,хорошее,42.8775,4.0,7.0,индивид. планировка,6.0,1989.0,2 с/у и более,частично меблирована,центральное,от агента
40.0,36000.0,74.6364,хорошее,42.8143,1.0,9.0,106 серия,7.0,,совмещенный,,центральное,от агента
42.0,39000.0,74.6334,евроремонт,42.8703,1.0,9.0,индивид. планировка,4.0,2019.0,совмещенный,,центральное,от агента
56.0,36999.0,74.6416,среднее,42.8122,2.0,9.0,106 серия улучшенная,1.0,,,,центральное,от собственника
55.0,50000.0,74.5666,евроремонт,42.835,2.0,9.0,элитка,1.0,,,,центральное,от агента
50.0,39999.0,74.6318,евроремонт,42.8334,1.0,13.0,элитка,12.0,2020.0,,,центральное,от собственника
40.7,42000.0,74.5837,хорошее,42.8726,2.0,5.0,индивид. планировка,3.0,1976.0,раздельный,,центральное,от агента
84.0,83000.0,74.5891,евроремонт,42.8762,4.0,5.0,индивид. планировка,2.0,1961.0,раздельный,,центральное,от агента
58.0,50000.0,74.6222,евроремонт,42.8784,3.0,5.0,104 серия улучшенная,3.0,1981.0,совмещенный,,центральное,от агента
58.0,42000.0,74.6127,хорошее,42.8333,3.0,4.0,104 серия,1.0,1972.0,совмещенный,частично меблирована,центральное,от агента
46.0,46000.0,74.5838,евроремонт,42.8815,2.0,10.0,элитка,5.0,2017.0,совмещенный,частично меблирована,центральное,от агента
140.0,87000.0,74.5681,,42.8314,4.0,12.0,индивид. планировка,10.0,2017.0,2 с/у и более,,центральное,от агента
84.0,79900.0,74.6268,евроремонт,42.8131,3.0,11.0,элитка,7.0,,раздельный,полностью меблирована,на газе,от собственника
62.0,68000.0,74.6316,евроремонт,42.8282,2.0,6.0,индивид. планировка,2.0,2014.0,совмещенный,,смешанное,от агента
79.2,68000.0,74.6339,евроремонт,42.8722,4.0,5.0,105 серия,5.0,1980.0,,,центральное,от агента
43.0,34499.0,74.6172,,42.8339,2.0,4.0,104 серия,4.0,,,,центральное,от собственника
65.0,50000.0,74.6321,евроремонт,42.8686,2.0,9.0,106 серия улучшенная,2.0,2018.0,раздельный,,центральное,от агента
78.0,70000.0,74.6903,,42.8546,3.0,9.0,106 серия улучшенная,5.0,2009.0,совмещенный,частично меблирована,центральное,от агента
72.0,67500.0,74.5862,,42.8462,3.0,3.0,индивид. планировка,2.0,,,,центральное,от агента
45.0,31500.0,74.6374,евроремонт,42.8396,1.0,9.0,106 серия улучшенная,5.0,2015.0,совмещенный,,электрическое,от агента
42.0,33000.0,74.5975,среднее,42.8482,2.0,4.0,хрущевка,2.0,1962.0,,,центральное,от агента
44.5,37000.0,74.6117,хорошее,42.8311,2.0,4.0,104 серия,1.0,1971.0,совмещенный,,центральное,от агента
78.5,70000.0,74.6897,евроремонт,42.8543,3.0,9.0,106 серия улучшенная,5.0,2009.0,совмещенный,частично меблирована,центральное,от агента
125.0,145000.0,74.6347,евроремонт,42.8155,3.0,11.0,элитка,1.0,2014.0,2 с/у и более,,центральное,от агента
170.0,155000.0,74.5854,среднее,42.8719,6.0,6.0,индивид. планировка,1.0,1994.0,2 с/у и более,частично меблирована,центральное,от агента
130.0,146000.0,74.6319,евроремонт,42.8154,4.0,6.0,элитка,3.0,2009.0,раздельный,частично меблирована,центральное,от агента
68.3,62000.0,74.6298,евроремонт,42.8377,3.0,5.0,индивид. планировка,4.0,1993.0,раздельный,,центральное,от агента
44.5,41500.0,74.5806,хорошее,42.8418,2.0,10.0,индивид. планировка,10.0,2017.0,2 с/у и более,,центральное,от агента
47.0,30500.0,74.5884,под самоотделку (псо),42.8545,1.0,10.0,элитка,3.0,2018.0,,,на газе,от собственника
100.0,60000.0,74.6479,под самоотделку (псо),42.8768,3.0,10.0,элитка,3.0,2019.0,,,центральное,от агента
58.0,44500.0,74.6442,хорошее,42.8763,2.0,3.0,индивид. планировка,2.0,1964.0,раздельный,,центральное,от агента
49.0,29600.0,74.6479,под самоотделку (псо),42.8768,1.0,10.0,элитка,7.0,2019.0,,,центральное,от агента
67.0,56000.0,74.6116,среднее,42.8744,3.0,12.0,индивид. планировка,7.0,,,,центральное,от собственника
150.0,97500.0,74.5884,под самоотделку (псо),42.8545,3.0,10.0,элитка,3.0,2018.0,,,,от собственника
120.0,78000.0,74.5884,,42.8545,3.0,10.0,элитка,3.0,2018.0,,,,от собственника
