title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 78 м2","Бишкек, 5 м-н, Юнусалиева 51",$ 82 000,6 953 600 сом,$ 1 051/м2,89 149 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,161,от собственника,"монолитный, 2019 г.",10 этаж из 10,,78 м2,,индивид. планировка,центральное,евроремонт,возможно подключение,оптика,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,"""42.8314""","""74.6232""",https://www.house.kg/details/5559453600acd6dd77b77-48211066,
"3-комн. кв., 80 м2","Бишкек, Асанбай м-н, Токомбаева/Сухэ  Батора",$ 75 000,6 360 000 сом,$ 938/м2,79 500 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,476,от собственника,"панельный, 1988 г.",6 этаж из 9,,80 м2,,106 серия,центральное,евроремонт,есть,проводной,раздельный,лоджия,бронированная,,,,,,,,,"домофон,                                             видеонаблюдение,                                             сигнализация,                                             видеодомофон",полностью меблирована,ламинат,2 м.,"пластиковые окна,                                             неугловая,                                             кондиционер,                                             новая сантехника,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3-х ком.квартиру + сушилка( переделана в кабинет)
Нижний Асанбай, по Магистрали, рядом с Глобусом
106 серии, 6/9, не угловая
Площадь 80м2 
Квартира с капитальным ремонтом.
Продаем вместе с мебелью и техникой!
Ковры, люстры, шторы!
Заходи и живи!
Ванная расширена.
Цена : 75000$
Собственник!
","""42.822""","""74.6191""",https://www.house.kg/details/9788735fd8dd4abf0f48-26227822,
"Участок, 3.66 соток","Бишкек, Восток-5 м-н, Московская/Карпинка",$ 85 000,7 208 000 сом,,,Добавлено 2 месяца назад,Поднято 2 месяца назад,207,от собственника,,,,,3.66 соток,,,,,,,,,,,,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю УЧАСТОК!!!
✓Адрес: Московская/Карпинка (Суюмбаева)
✓1-ая линия по Московской
✓Площадь - 3,66 соток
✓Красная книга
✓Центральные коммуникации
✓Под строительство коммерческого здания, особняка.
✓Расмотрю бартер, обмен
","""42.8689""","""74.6255""",https://www.house.kg/details/9167923600d85d6336568-75970964,
"3-комн. кв., 58 м2","Бишкек, 5 м-н",$ 43 500,3 688 800 сом,$ 750/м2,63 600 сом/м2,Добавлено 2 месяца назад,,196,от агента,панельный,1 этаж из 4,,58 м2,,104 серия,центральное,хорошее,есть,проводной,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"решетки на окнах,                                             домофон",частично меблирована,линолеум,2.5 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             встроенная кухня",нет,есть,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру 5мкр.
 104 серия. 1 этаж из 4.

 Квартира с ремонтом (лоджия расширенная)

 Удобный двор, тихий район. Все условия центральные. В шаговой доступности : Школа #3, Бета- Сторес 2, Орто-сай рынок. 

Цена 43500$ мини торг 

 Все вопросы по тел 
0700 157716 ватсап 
0551 157716 Алмаз
","""42.8297""","""74.6272""",https://www.house.kg/details/3191650601e0e5d750b71-45326347,
"3-комн. кв., 100 м2",Бишкек,$ 66 500,5 639 200 сом,$ 665/м2,56 392 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,380,от собственника,"панельный, 2017 г.",2 этаж из 9,,100 м2,,108 серия,центральное,,,,раздельный,,,,,,,,,,,,полностью меблирована,,,,,,,"

                                    Описание от продавца                            
СРОЧНО ПРОДАЕТСЯ 3ком квартира средний Джал. 100кв метр 2/9 не угловая.
0550 52 00 16/ 0704 52 56 24
","""42.838""","""74.5534""",https://www.house.kg/details/78736585ff62520e37516-59797166,
"3-комн. кв., 105 м2","Бишкек, Асанбай м-н, ул. Гагарина 139 (пер. ул. Баха)",$ 79 000,6 699 200 сом,$ 752/м2,63 802 сом/м2,Добавлено 2 месяца назад,,359,от собственника,"кирпичный, 2005 г.",3 этаж из 5,,105 м2,,элитка,центральное,евроремонт,возможно подключение,,совмещенный,,бронированная,паркинг,,,,,,,,,пустая,паркет,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3 комн кв (105 м2), евро ремонт, элитка.

Дом находится в мрн Асанбай, за рестораном Барашек. 

Все коммуникации центральные. Подоконники из натурального камня, покрытие пола паркет, и двери карагач. Толщина внешних стен в 2 кирпича, высота потолка 3 метра.

Вид из окна как во двор, так и на Юж.Магистраль, закрытый двор с пультовым управлением + детская площадка

Рядом с домом есть Народный, ресторан Ормон-хан и Барашек, дет сад №94, школа №63 и Silk Road Intern school, парк Асанбай, Globus, Американский Университет (АУЦА).

Цена: $79т

Тел.(+WhatsApp): 0706-68-67-66 , 0558-66-67-68
","""42.821""","""74.6197""",https://www.house.kg/details/8071582601da3cc7611d7-77532531,
"Дом, 6 и более комнат, 140 м2","Бишкек, Рабочий Городок, Люксембург 74/Матыева",$ 95 000,8 056 000 сом,$ 679/м2,57 543 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,237,от собственника,"кирпичный, 2000 г.",,1,"140 м2, жилая: 125 м2",4.3 соток,,на газе,евроремонт,есть,проводной,раздельный,,,,,,центральная,центральное водоснабжение,есть,автономный,,,пустая,дерево,2.7 м.,"пластиковые окна,                                             хозпостройки,                                             гараж,                                             3 фазы",нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю дом со всеми коммуникациями центральная канализация, газ,. Общая площадь участка 4.300 площадь дома 140 кв
В доме был ремонт 2018 году. Отопление газовая и угольный.. имеется гараж для двух машин и навес для двух машин.
","""42.8541""","""74.5645""",https://www.house.kg/details/75800905ffb55a60bf607-93342226,
"6 и более комнат кв., 150 м2","Бишкек, Горького Чолпон Атинская",$ 103 000,8 734 400 сом,$ 687/м2,58 229 сом/м2,Добавлено 7 месяцев назад,Поднято 2 месяца назад,701,от собственника,"кирпичный, 2019 г.",9 этаж из 10,,"150 м2, жилая: 147 м2",,пентхаус,центральное,под самоотделку (псо),есть,проводной,2 с/у и более,лоджия,бронированная,паркинг,,,,,,автономный,,,пустая,,3.4 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продается пентхаус 9й и 10й этаж, 147 м2, ПСО. все центральное. адрес Чолпон Атинская Горького 0702071111. 0555959934
","""42.8582""","""74.6819""",https://www.house.kg/details/80252955f376f2b12b757-55726085,
"3-комн. кв., 66 м2","Бишкек, Джал, ул. Курчатова 81",$ 37 800,3 205 440 сом,$ 573/м2,48 567 сом/м2,Добавлено 2 месяца назад,,225,от собственника,"монолитный, 1990 г.",6 этаж из 9,,"66 м2, жилая: 46 м2, кухня: 20 м2",,индивид. планировка,центральное,хорошее,возможно подключение,оптика,раздельный,нет,деревянная,паркинг,,,,,,нет,,,пустая,линолеум,,комнаты изолированы,,,обмен не предлагать,"

                                    Описание от продавца                            
продается квартира 3 комнаты 66кв.м
","""42.8469""","""74.5613""",https://www.house.kg/details/7908993601d2ef42db8f4-43248586,
"1-комн. кв., 39.35 м2","Бишкек, Чингиз Айтматова 4/м. Горький",$ 26 700,2 264 160 сом,$ 679/м2,57 539 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,281,от собственника,монолитный,11 этаж из 12,,"39.35 м2, кухня: 12 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,проводной,совмещенный,балкон,,паркинг,,,,,,магистральный,,,,,3 м.,,,,с доплатой покупателя,"

                                    Описание от продавца                            
Срочно продается 1; 2х комнатнве квартиры ПСО в ЖК ""Ботанический Сад"", Горького/пр. Мира. СК ""Ихлас"".
Этаж 11 из 12 39,35м² 26700$$$
Тел: 0707-888-555
","""42.8626""","""74.5883""",https://www.house.kg/details/59402716010f4f6c5ad18-01788731,
"1-комн. кв., 68.11 м2","Бишкек, Исанова 147/Токтогула",$ 43 500,3 688 800 сом,$ 639/м2,54 159 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,1282,от собственника,"монолитный, 2021 г.",9 этаж из 13,,"68.11 м2, жилая: 68.11 м2, кухня: 16.4 м2",,элитка,центральное,черновая отделка,возможно подключение,проводной,совмещенный,лоджия,,паркинг,,,,,,магистральный,,,,,3 м.,,есть,,с доплатой покупателя,"

                                    Описание от продавца                            
1 комнатная квартира бизнес-класса 
Исанова-Токтогула
S=68м2
Этаж 9/13
На территории комплекса предусмотрены:
детская площадка
видеонаблюдение 
охрана
алюминиевые панорамные окна 
На стадии строительства
9й этаж каркас
5й этаж кладка кирпича
Под ПСО 2021г 4й квартал

Цена 43500$$$$
Скидки предусмотрены

Телефон: 0552-17-28-82  Хозяин
","""42.8724""","""74.5915""",https://www.house.kg/details/19111916010f390c836d2-43718701,
"Дом, 6 и более комнат, 300 м2","Бишкек, Койташский периулок 44/1 44/1/Ахунбаева / карламаркса",$ 125 000,10 600 000 сом,$ 417/м2,35 333 сом/м2,Добавлено 2 месяца назад,,333,от собственника,"кирпичный, 2010 г.",,2,"300 м2, жилая: 180 м2",3 соток,,центральное,хорошее,возможно подключение,проводной,,,,,,,центральная,центральное водоснабжение,есть,,,,полностью меблирована,,,,,,,,"""42.8407""","""74.6263""",https://www.house.kg/details/1808437601d289bf050e0-29339669,
"3-комн. кв., 143 м2",Бишкек,$ 133 000,11 278 400 сом,$ 930/м2,78 870 сом/м2,Добавлено 2 месяца назад,,113,от агента,кирпичный,5 этаж из 12,,143 м2,,элитка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3-х ком квартира по проспекту Абсамата Масалиева 43а/Бакаева 
Клубный 5 этажный  дом
Всего 12 квартир в доме
3 квартиры на площадке 
2-этаж из 5 
143м2 фактически
Имеется подземный автопаркинг
Все коммуникации центральные, отопление автономное электрическое.
Развитая инфраструктура!!!

Цена-133000долл.
","""42.8517""","""74.5422""",https://www.house.kg/details/2086482601d1f233c98b0-02549516,
"3-комн. кв., 48.62 м2","Бишкек, Средний Джал м-н, тыналиева 1/3",$ 50 000,4 240 000 сом,$ 1 028/м2,87 207 сом/м2,Добавлено 2 месяца назад,,214,от собственника,монолитный,13 этаж из 14,,48.62 м2,,элитка,электрическое,евроремонт,нет,проводной,совмещенный,нет,металлическая,паркинг,,,,,,нет,,"охрана,                                             домофон,                                             видеонаблюдение",частично меблирована,ламинат,3 м.,"пластиковые окна,                                             кондиционер,                                             неугловая,                                             улучшенная",,,рассмотрю варианты,"

                                    Описание от продавца                            
Мкр джал 
Двухкомнатная студия, спальная и кухня совмещенная с залом, и маленькая детская. По факту трешка)))
С окон отличный вид на горы. 
Ремонт делали для себя все материалы  хорошие!
Частично с мебелью.
Из мебели остаётся,кровать двух местный и один одна местный. 

•Ремонт в стиле neo classic
•Россия 
•Италия
•Кафель нового вида
•Кондиционер
•Холодильник
•Стол со стульями 
•WI-FI aknet 

С реальным клиентом договоримся
#джал #элитка #3ком2ком #бишкек #недвижимость #квартира #новыйдом
","""42.838""","""74.5683""",https://www.house.kg/details/5055731601d1f028cacd8-28754847,
"2-комн. кв., 44 м2","Бишкек, ул. Коенкозова / Чуйкова (ориентир) Исанова-Боконбаева",$ 29 500,2 501 600 сом,$ 670/м2,56 855 сом/м2,Добавлено 2 месяца назад,,134,от собственника,"кирпичный, 2020 г.",10 этаж из 10,,44 м2,,элитка,центральное,под самоотделку (псо),,,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             охрана",,,3 м.,"пластиковые окна,                                             кухня-студия,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,с доплатой продавца,"

                                    Описание от продавца                            
Продается квартира: 2 комнаты (Студия + спальня), 44 кв.м. Жк эл-классик. Дом готов, можно начинать отделчные работы. Имеется готовый дизайн проект, вклбючая все коммуникации
","""42.8656""","""74.5939""",https://www.house.kg/details/6716357601d15b0949be6-10221045,
"2-комн. кв., 47 м2","Бишкек, Аламедин-1 м-н",$ 45 000,3 816 000 сом,$ 957/м2,81 191 сом/м2,Добавлено 2 месяца назад,,159,от собственника,панельный,1 этаж из 5,,47 м2,,105 серия,центральное,хорошее,есть,,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             видеонаблюдение",полностью меблирована,линолеум,280 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня",нет,нет,,,"""42.8764""","""74.6862""",https://www.house.kg/details/3613013601d12580728f7-08612736,
"Дом, 6 и более комнат, 170 м2","Бишкек, арчабешик",$ 130 000,11 024 000 сом,$ 765/м2,64 847 сом/м2,Добавлено 2 месяца назад,,93,от собственника,"кирпичный, 1998 г.",,2,"170 м2, жилая: 150 м2, кухня: 25 м2",10.5 соток,,на газе,хорошее,нет,adsl,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,дерево,2.8 м.,,,,,,"""42.8423""","""74.5411""",https://www.house.kg/details/3706549601d0792603dd0-77820271,
"2-комн. кв., 52 м2","Бишкек, 10 м-н",$ 42 000,3 561 600 сом,$ 808/м2,68 492 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,273,от собственника,монолитный,1 этаж из 5,,52 м2,,105 серия,центральное,хорошее,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,домофон,частично меблирована,,2.8 м.,"тихий двор,                                             неугловая,                                             пластиковые окна",,,обмен не предлагать,,"""42.8335""","""74.6016""",https://www.house.kg/details/66415305ff43f97b85cd9-30329798,
"4-комн. кв., 76 м2","Бишкек, Боконбаева",$ 61 500,5 215 200 сом,$ 809/м2,68 621 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,262,от агента,панельный,1 этаж из 5,,76 м2,,индивид. планировка,центральное,хорошее,возможно подключение,adsl,раздельный,застекленный балкон,бронированная,паркинг,,,,,,магистральный,,домофон,полностью меблирована,ламинат,,,нет,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продаю квартиру 4х комнатную, по ул.Ж.Боконбаева/Уметалиева.
• Индивидуалка  
• Площадь 76 кв.м
• Этаж 1 из 5
• Ремонт хороший 
• Окна пластиковые +решетка 
• с/у совмещенный 100% кафель
• кухня раб.кафель (+кух.гарнитура)  
• Центральное отопление, водоснабжение, канализация, полная газификация дома
• Гардеробная и кладовая 

• Детская площадка, рядом магазины, аптеки, бульвар 
Очень теплая и светлая квартира
","""42.8684""","""74.58""",https://www.house.kg/details/44822925ff68c6f2aed25-79449768,
