title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"3-комн. кв., 144 м2","Бишкек, Турусбекова/Рыскулова",$ 180 000,15 264 000 сом,$ 1 250/м2,106 000 сом/м2,Добавлено 2 месяца назад,,220,от собственника,монолитный,8 этаж из 8,,144 м2,,элитка,центральное,евроремонт,есть,,,,,,,,,,,,,,полностью меблирована,,,,нет,нет,,"

                                    Описание от продавца                            
Квартира 3 комнатная, общая площадь 144 кв.м. 8 этаж, ул. Турусбекова-ул. Рыскулова, за Филармонией, ремонт, техника ( духовка, вытяжка, микр, плита ) от corenje , два встроенных холодильника мебель, шторы, под ключ, купить, заехать и счастлива жить.
","""42.8792""","""74.5852""",https://www.house.kg/details/89746275ffd38db7b6f53-99786024,
"3-комн. кв., 68 м2","Бишкек, 12 м-н",$ 63 000,5 342 400 сом,$ 926/м2,78 565 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,235,от агента,панельный,3 этаж из 5,,68 м2,,105 серия,центральное,хорошее,возможно подключение,adsl,раздельный,лоджия,металлическая,,,,,,,магистральный,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продается 3к кв 
Адрес. 12 Мкр
Общая  площадь - 68
Серия - 105
Этаж- 3/5
Лоджия - 2 лоджии застеклены
Квартира - не угловая
Санузел - раздельный.
Квартира с хорошими параметрами, частично с мебелью
Состояние - свежий ремонт.
Документы в порядке.
Дополнительно: рядом школы и отличная транспортная развязка
Цена- 63000
Тел.0709323185 м²
","""42.813""","""74.6342""",https://www.house.kg/details/40953655ff7f554a10f93-48997764,
"3-комн. кв., 90 м2","Бишкек, Московская/турусбекова",$ 77 500,6 572 000 сом,$ 861/м2,73 022 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,267,от агента,кирпичный,4 этаж из 5,,"90 м2, жилая: 70 м2",,индивид. планировка,центральное,евроремонт,возможно подключение,adsl,совмещенный,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3 х комнатная квартира!!!

Расположена по Московской/ Турусбековой
Серия индивидуальный проект
Общая площадь 90м²,жилая 70м²
4 этаж 5
Состояние евроремонт 
Мебель все остаётся 
Коммуникации центральные газ
Документы в залоге в аресте не состоит 
Пол ламинат *
Санузел совмещённый 
Цена 77500$ 

Дополнительно: не угловая, тихий двор,кухня студия,улучшенная ,пластиковые окна,новая сантехника,лоджии 4 расширены утеплённые .
Рядом школы #13,#70 . Аптеки, магазины, все шагой доступности
Транспорт во все стороны города
","""42.8707""","""74.5842""",https://www.house.kg/details/79742515ff5a1d8bc83a7-90790173,
"3-комн. кв., 130 м2","Бишкек, 7 м-н, ул. Токомбаева, 53/2",$ 133 000,11 278 400 сом,$ 1 023/м2,86 757 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,271,от агента,"монолитный, 2015 г.",1 этаж из 12,,"130 м2, жилая: 110 м2",,элитка,центральное,хорошее,возможно подключение,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,,полностью меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня",,,,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру 
7 небо 
Авангард Стиль
Год-2015 
Общая площадь - 130 кв.  
110 жилая
Документы - техпаспорт.
Количество жилых комнат - 3
Этаж - 1/12
Тип строения - монолитный.
Санузел - 2 раздельных,
Состояние – хорошее.
Мебель + техника – полностью.
Коммуникации - центральные.
Отопление - центральное.
Газ - Магистральный 
Цена – 133 000$
светлая и тёплая квартира, домофон, видеодомофон, охрана, тихий двор.
Развитая инфраструктура всё в пешей доступности! са
","""42.8242""","""74.6156""",https://www.house.kg/details/54033705ff7f77416c4f7-20677861,
"Коммерческая недвижимость, 120 м2","Бишкек, Московская/исанова",$ 180 000,15 264 000 сом,$ 1 500/м2,127 200 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,258,от агента,"кирпичный, 2013 г.",,9,120 м2,,,центральное,среднее,есть,оптика,,,,,,,,,,,,охрана,,,,,,,,,"""42.8707""","""74.5916""",https://www.house.kg/details/32646735ff7f32bdee0c1-18704878,
"Дом, 5-комн., 270 м2",Бишкек/койташский,$ 130 000,11 024 000 сом,$ 481/м2,40 830 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,290,от агента,кирпичный,,2,270 м2,,,центральное,под самоотделку (псо),,,,,,,,,центральная,центральное водоснабжение,есть,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся дом ПсО, 270 м2, очень удобное расположение, дом находится на пер.Койташский, рядом 26 школа, все Комуникации центральные! Общая площадь участка 3.5 соток. Красная книга и тех.паспорт! Цена 130 000$ т¹
+996709323185
","""42.8408""","""74.6262""",https://www.house.kg/details/75471385ff7ed88b9bcf4-30462821,
"3-комн. кв., 153 м2","Бишкек, Советская/киевская",$ 110 000,9 328 000 сом,$ 719/м2,60 967 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,243,от агента,"кирпичный, 2006 г.",2 этаж из 12,,153 м2,,элитка,центральное,хорошее,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продается 3-х комнатная квартира в центре, Советская/Киевская
Общая площадь-153м2
Этаж-2/12
Зал,детская,спальня,кухня-+холл(студия)
Все коммуникации центральные, приготовление электро, теплый пол.
Вся инфраструктура в шаговой доступности!!!
Продажа в связи с расширением,рассмотрим варианты обмена с нашей доплатой.

Цена-110000долл.
","""42.8735""","""74.6217""",https://www.house.kg/details/2764345ff1a9ffb0af86-54758903,
"3-комн. кв., 127 м2",Бишкек,$ 110 000,9 328 000 сом,$ 866/м2,73 449 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,192,от агента,"кирпичный, 2010 г.",6 этаж из 7,,127 м2,,элитка,центральное,хорошее,возможно подключение,проводной,раздельный,,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаю  3ком.

Количество комнат: 3 
Адрес: в районе Политех ул.Душанбинка// пр.Мира 
Застройщик Бейрон
Год постройки 2010
Серия: элитка
Этаж:  6 из 7
Тип строения: кирпичный
Площадь: 127м²
Комуникации: центральные
Состояние: хорошее
Мебель: остаётся
Документы: на руках
Цена: 110000$

Подробности: состояние чистая аккуратная,на площадке 3 квартиры, шикарный вид из окна,квартира теплая ,
магазины ,школы,сады и т.д
транспортная развязка развита,развита инфраструктура
Контакты: 0709323185

#кыргызстан#недвижимостьбишкек
#квартирабишкек#жилье#куплюпродам
#бишкек
","""42.8452""","""74.5583""",https://www.house.kg/details/58811085ff1de7ea53b03-53665420,
"4-комн. кв., 150 м2","Бишкек, Средний Джал м-н, тыналиева",$ 113 000,9 582 400 сом,$ 753/м2,63 883 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,284,от агента,"кирпичный, 2010 г.",10 этаж из 10,,"150 м2, жилая: 122 м2",,элитка,центральное,хорошее,возможно подключение,проводной,2 с/у и более,балкон,бронированная,,,,,,,магистральный,,,полностью меблирована,линолеум,,,,,,"

                                    Описание от продавца                            
Продаю 4 х комнатную квартиру. Расположена Джал по Тыналиевой. 
Застройщик Хаз Курулуш
Год постройки 2010
Тип постройки кирпичный
Общая площадь 150;м² ,жилая 122м²
10 этаж 10 техэтаж
Балкон 1
Санузла 3 
Коммуникации центральные,газ есть
Документы на руках
Дом на красной книги
Мебель и бытовая техника остаётся
Окна выходят север,восток *
Двор огорожен, большая детская площадка.
Цена 113000$ торг 

Все шаговой доступности транспортная развязка развита
","""42.838""","""74.5663""",https://www.house.kg/details/67537535fe1fee81d13a4-98593021,
"4-комн. кв., 220 м2",Бишкек,$ 205 000,17 384 000 сом,$ 932/м2,79 018 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,261,от агента,кирпичный,6 этаж из 7,,220 м2,,элитка,центральное,евроремонт,возможно подключение,adsl,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,,полностью меблирована,,,,,,,"

                                    Описание от продавца                            
Продаю  4ком

Количество комнат: 4
Застройщик СК Авангард
Адрес: по ул. Токтоналиева 
Серия: элитка 
Этаж:  6 из 7
Тип строения: кирпичный
Площадь: 220м²
Комуникации: центральные
Состояние: евроремонт
Мебель: остаётся 
Документы: на руках
Цена: 205000$ (932м²)

Подробности:  магазины ,школы,сады 
транспортная развязка развита,развита инфраструктура
Контакты: 0709323185

#кыргызстан#недвижимостьбишкек
#квартирабишкек#жилье#куплюпродам
#бишкек
","""42.8438""","""74.5921""",https://www.house.kg/details/38849855ff545f7b4a9d7-11014882,
