title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 43 м2",Бишкек,$ 37 500,3 180 000 сом,$ 872/м2,73 953 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,309,от собственника,панельный,4 этаж из 5,,43 м2,,104 серия,центральное,среднее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2х комнатную квартиру в Восток 5. 104 серия, квадратура 43м2, этаж 4/5(угловая, но очень тёплая). Окна пластик, косметический ремонт. 
Цена 37500$

Тел: 0500001941, 0220001941

Аманат Инвест
","""42.8751""","""74.6297""",https://www.house.kg/details/72209045fc9cd3acf0d54-67455757,
"2-комн. кв., 43 м2",Бишкек,$ 37 500,3 180 000 сом,$ 872/м2,73 953 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,319,от собственника,панельный,1 этаж из 5,,43 м2,,104 серия,центральное,среднее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 2к квартиру 104 серии на Гоголя-Московская, ориентир Центральная мечеть.
Квартира не угловая, на 1 этаже из 5. Частично с мебелью.
Развитая инфраструктура, рядом несколько школ, садиков и т.д.
Цена: 37500$
Тел: 0500001941, 0220001941

#АманатИнвест
","""42.8689""","""74.6206""",https://www.house.kg/details/64120725fc9cc787f57b4-20545393,
"3-комн. кв., 61 м2","Бишкек, 7 м-н",$ 56 500,4 791 200 сом,$ 926/м2,78 544 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,533,от собственника,панельный,5 этаж из 9,,61 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,нет,есть,,"

                                    Описание от продавца                            
СРОЧНО Продаю 3х комнатную квартиру
Адрес: 7мкр(по Жукеева Пудовкина)
Все центральные коммуникации, дом одноподъездный, ремонт средний и мебель частично
2 лоджии
Этаж: 5 из 9
Площадь: 61м2
Цена: 56500$
По вопросам: 0500001941, 0220001941
","""42.8285""","""74.6163""",https://www.house.kg/details/96674935fbca33994d860-40642346,
"1-комн. кв., 41 м2","Бишкек, Кок-Жар ж/м, ул. Шабдан Баатыра / ул. Медерова",$ 28 500,2 416 800 сом,$ 695/м2,58 946 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,458,от собственника,"монолитный, 2020 г.",5 этаж из 12,,41 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,нет,,,"

                                    Описание от продавца                            
Срочно продаю 1 комнатную квартиру в новом Элитном Ж/К Кок-Жар Де-Люкс. Алматинская/Медерова
СК Альфа-Строй
Площадь: 41 м2
Этаж: 5 из 12
ПСО, Все коммуникации центральные, тех паспорт будет выдан до конца 2020 года
Цена: 28500$
По вопросам: 0500001941, 0220001941
","""42.8525""","""74.6348""",https://www.house.kg/details/15602305fbcb5c1e43c68-70715083,
"2-комн. кв., 58 м2","Бишкек, Джал-23 м-н (Нижний Джал)",$ 40 500,3 434 400 сом,$ 698/м2,59 214 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,676,от собственника,кирпичный,3 этаж из 5,,58 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,,,,,нет,,,"

                                    Описание от продавца                            
Продаю 2х комнатную + подвал квартиру
Адрес: Джал со стороны Ахунбаева
Индивид, не угловая, с/у раздельный
Площадь: 58 м2
Все коммуникации центральные, ремонт средний, мебель частично
Цена: 40500
Этаж: 3 из 5
По вопросам: 0500001941, 0220001941
Аманат инвест
","""42.843""","""74.568""",https://www.house.kg/details/40829185fbcb6650488c3-91275258,
"2-комн. кв., 75 м2","Бишкек, ул. Садырбаева / ул. Гагарина",$ 56 000,4 748 800 сом,$ 747/м2,63 317 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,376,от собственника,"монолитный, 2020 г.",3 этаж из 10,,75 м2,,элитка,центральное,хорошее,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 2х комнатную квартиру
Адрес: Верхний Джал
СК Аска Курулуш
Вся мебель остается, солнечная сторона
Водоснабжение автономное, отопление центральное, газ есть.
Ремонт сделан, утепленная
Этаж: 3 из 10
Площадь: 75 м2
Цена: 56000$
По вопросам: 0500001941, 0220001941
","""42.8531""","""74.5572""",https://www.house.kg/details/77144865fbcbefa2b98f5-81033170,
"3-комн. кв., 64 м2",Бишкек,$ 54 000,4 579 200 сом,$ 844/м2,71 550 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,383,от собственника,панельный,9 этаж из 9,,64 м2,,106 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3х ком квартиру
106 серия (лоджия расш-ая)
Советская/Боконбаева
Коммуникации центр
С ремонтом+ мебель
В очень хорошем состоянии
Площадь : 64м2 
Этаж 9 из 9 
Цена : 54000$

Тел : 0500001941, 0220001941

АманатИнвест
","""42.8667""","""74.6109""",https://www.house.kg/details/60912445fbcc6ceb07308-19023698,
"3-комн. кв., 104.2 м2","Бишкек, ул. Токомбаева, стр. 21/2",$ 56 268,4 771 526 сом,$ 540/м2,45 792 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,455,от собственника,"монолитный, 2019 г.",9 этаж из 12,,104.2 м2,,элитка,автономное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Срочно продаю 3 комнатную квартиру 104.2 м2 этаж 9 из 12 под самоотделку. Дом расположен по адресу Южная магистраль / Куттубаева! Цена 540$ м2 Тел 0500001941, 0220001941 Многоэтажный жилой комплекс «Keremet LIFE» расположен в самой красивой части города Бишкек, где вы можете наслаждаться с вашей семьей чистым горным воздухом и тишиной, а также уникальным видом снежных гор Ала-Тоо. Керемет Лайф состоит из 12 этажей — в 1,2 этажах для удобства жителей предусмотрены: супермаркет, аптека, кафе и рестораны, площадки для отдыха и спорта.
","""42.8173""","""74.6228""",https://www.house.kg/details/98237175fc76bf7871099-14670381,
"2-комн. кв., 70 м2","Бишкек, пр. Чингиза Айтматова, 4",$ 42 500,3 604 000 сом,$ 607/м2,51 486 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,378,от собственника,"монолитный, 2019 г.",11 этаж из 12,,70 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 2х ком кв ЭЛИТКА
ЖК Ботанический Сад
СК Ихлас
Площадь: 70м²
Этаж: 11/12 +тех этаж
Модно начинать ремонт!! ПСО 
Дом кирпичный отделка фасада Натуральным камнем (Травертин)
Все Коммуникации Центральные
Готовый блок

Цена: 42500$

Тел: 0500001941, 0220001941
","""42.8626""","""74.5883""",https://www.house.kg/details/89336295fc76cd6685625-51002206,
"3-комн. кв., 122.4 м2","Бишкек, Асанбай м-н, ул. Сухэ-Батора / А. Токомбаева",$ 87 000,7 377 600 сом,$ 711/м2,60 275 сом/м2,Добавлено 4 месяца назад,Поднято 29 дней назад,373,от собственника,"монолитный, 2019 г.",4 этаж из 14,,122.4 м2,,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3-комнатную квартиру
Ж/К «Английский Квартал»
С/К «Нурзаман»
По адресу: Асанбай мкр. по 
ул. Сухэ Батора/Магистраль 
Дом премиум класса
Планировка сквозная 
Квартира на 4 этаже из 14,
Площадь: 122.4 м2. 
Большая детская площадка, фитнес клуб,  
охраняемая территория. 
В подъезде два бесшумных лифта. Один грузовой лифт, а второй пассажирский. 
Экологически чистый воздух.

Цена: 87000$$$

Тел: 0500001941, 0220001941

Аманат Инвест
аманат инвест
","""42.8187""","""74.6134""",https://www.house.kg/details/30424905fc76e287129c7-37241929,
