title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 45 м2","Бишкек, Улан м-н, Ахунбаева/Алма-Атинская",$ 36 000,3 052 800 сом,$ 800/м2,67 840 сом/м2,Добавлено 15 дней назад,Поднято 3 дня назад,148,от собственника,"панельный, 2020 г.",1 этаж из 9,,"45 м2, жилая: 45 м2, кухня: 20 м2",,106 серия улучшенная,центральное,евроремонт,возможно подключение,проводной,совмещенный,лоджия,бронированная,паркинг,,,,,,магистральный,,,частично меблирована,ламинат,2.8 м.,,,есть,,"

                                    Описание от продавца                            
Продаю квартиру в мкр. Улан, заезд с Ахунбаева, однокомнатная 45 кв.м., 106 серия (улучшенная, две застекленные лоджии), переделанная в двухкомнатную - студию, 1ый этаж. Двор огорожен, закрытый, есть видео наблюдение, автоматические ворота. Все центральное (отопление, газ, вода, канализация). Просим срочно $36000. Собственник, без посредников. Т. 0222124212, 0553000735, 0707680065
","""42.8439""","""74.6339""",https://www.house.kg/details/9978471604897fc1f9833-01085138,
"2-комн. кв., 43 м2","Бишкек, 5 м-н",$ 36 000,3 052 800 сом,$ 837/м2,70 995 сом/м2,Добавлено 3 дня назад,,14,от агента,панельный,4 этаж из 4,,43 м2,,104 серия,центральное,хорошее,есть,adsl,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,домофон,,,,пластиковые окна,,,,"

                                    Описание от продавца                            
Продается 2комн квартира в 5мкрн. В хорошем состоянии.  Сантехника новая  кухня фартук. Остается кухонный гарнитур, кондиционер и водонагреватель. Цена 36000$ , торг после просмотра. Дополнительная информация по тел: 0220 250080 , 0505 250080.
","""42.8323""","""74.6232""",https://www.house.kg/details/4902429605853e5ca1762-68571326,
"2-комн. кв., 43 м2","Бишкек, 4 м-н",$ 35 500,3 010 400 сом,$ 826/м2,70 009 сом/м2,Добавлено 3 дня назад,,14,от агента,панельный,3 этаж из 4,,43 м2,,104 серия,центральное,хорошее,есть,,,застекленный балкон,бронированная,,,,,,,магистральный,,домофон,,,,пластиковые окна,нет,есть,,"

                                    Описание от продавца                            
Продается 2комн квартира в 4мкрн. В хорошем состоянии, чистый и тихий двор. Балкон застеклен  окно пластиковые  вид с окон восток юг.  Сантехника новая  кухня фартук.  ЦЕНА 35500$ Дополнительная информация по тел: 0220 250080 , 0505 250080.
","""42.8382""","""74.6264""",https://www.house.kg/details/1529448605852a1ea3041-14732957,
"2-комн. кв., 75 м2","Бишкек, Улан-2 м-н, 7 апреля 2/10",$ 39 900,3 383 520 сом,$ 532/м2,45 114 сом/м2,Добавлено 4 месяца назад,Поднято 3 дня назад,1210,от собственника,"панельный, 2010 г.",7 этаж из 9,,75 м2,,106 серия,электрическое,хорошее,нет,проводной,раздельный,лоджия,бронированная,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 2х комнатную квартиру мкр Улан-2,  просторный вид из окна,окна выходят на восток, 7 этаж из 9, квартира не угловая, коммуникации центральные, отопление электрическое (бесперебойная подача электроэнергии,своя подстанция) очень удобно и экономично, 106 серия улучшенная - 3 лоджии, санузел раздельный

Район обжитый,ночью очень светло,везде горят фонари.В шаговой доступности магазины, аптеки, поликлиника, маркет Глобус,аллея со многочисленными скамейками,бот.сад

Техпаспорт на руках, документы юридически чистые

цена 40,5тыс$

рассмотрим варианты обмена на 1комнатную в этом же районе с доплатой нам
","""42.8459""","""74.6344""",https://www.house.kg/details/70894205fbfa6ca366149-64701051,
"2-комн. кв., 43 м2","Бишкек, 8 м-н",$ 36 000,3 052 800 сом,$ 837/м2,70 995 сом/м2,Добавлено 3 дня назад,,7,от агента,панельный,4 этаж из 4,,43 м2,,104 серия,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продается 2комн квартира в 8мкрн. В хорошем состоянии, чистый и тихий двор. Балкон застеклен  окно пластиковые  вид с окон восток юг.  Сантехника новая  кухня фартук.  Частично с мебелью. Дополнительная информация по тел: 0220 250080 , 0505 250080.
","""42.8297""","""74.6117""",https://www.house.kg/details/4426077605851042d3691-45815703,
"2-комн. кв., 40 м2","Бишкек, Филармония",$ 33 500,2 840 800 сом,$ 838/м2,71 020 сом/м2,Добавлено 3 дня назад,,14,от агента,кирпичный,5 этаж из 5,,40 м2,,индивид. планировка,центральное,хорошее,нет,,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок",полностью меблирована,линолеум,,"пластиковые окна,                                             неугловая,                                             тихий двор",нет,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю 2 к/кв индивид. На 5 этаж из 5. Площадь 40 м2

Индивидуалка 35000 $.

По адресу Турусбекова/Токтогула Центр

Продается 2 к.кв. индивид

С общей площадью – 40 м2

На 5 этаже из 5

Благоустроенный двор, теплая уютная квартира,

Качественные пластиковые окна,

Светлые 2 комнаты,

Сан. узел раздельный,

Чистый и опрятный подъезд

Огороженный двор, кодовые замки,

домофон, видеонаблюдение,

Детская игровая площадка

Гостевой паркинг.

В шаговой доступности: Садики и школы, супермаркеты, магазины и ТРЦ.

Район с развитой инфраструктурой,

и что немаловажно, деловой район города

Цена: 35000$.

Звоните: 0999 549 509; 0704 597 123
","""42.8732""","""74.586""",https://www.house.kg/details/6492899605850a4135308-57694977,
"2-комн. кв., 46 м2","Бишкек, 4 м-н",$ 33 500,2 840 800 сом,$ 728/м2,61 757 сом/м2,Добавлено 3 дня назад,,16,от агента,панельный,4 этаж из 4,,46 м2,,104 серия,центральное,среднее,,,совмещенный,,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
""ПРОДАЕТСЯ 1комн.кв 104 серии 4мкрн по К.Маркса ЦЕНА 33500!!!
Новая сантехника, крыша новая, чистый аккуратный подъезд. "" Будет торг после просмотра
","""42.8399""","""74.6225""",https://www.house.kg/details/33804060584ef25a22d6-52257755,
"2-комн. кв., 55 м2",Бишкек,$ 33 000,2 798 400 сом,$ 600/м2,50 880 сом/м2,Добавлено 3 дня назад,,15,от агента,монолитный,5 этаж из 12,,55 м2,,индивид. планировка,центральное,требует ремонта,есть,,раздельный,застекленный балкон,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам 2кв. Индивид. план. Жибек-Жолу/ Суюмбаева, этаж 5 из 12, Площадь 46,3 м2 + 3 лоджии, итого Площадь с лоджиями 55м2, (кухня= 7,9м2), год постройки 1989 год. Санузел раздельный, комнаты изолированные, 3 лоджии застекленные, лифт работает, электро приготовление. Цена 33000$ торг.    0-755-25-00-80, 0-508-08-70-77, 0-778-08-70-77
","""42.8858""","""74.6227""",https://www.house.kg/details/361671960584d8bf1e068-07210223,
"3-комн. кв., 94 м2","Бишкек, Скрябина 78/Элебаева",$ 87 000,7 377 600 сом,$ 926/м2,78 485 сом/м2,Добавлено 3 дня назад,,18,от агента,"кирпичный, 2015 г.",10 этаж из 11,,"94 м2, жилая: 57 м2, кухня: 15 м2",,элитка,центральное,евроремонт,возможно подключение,проводной,2 с/у и более,лоджия,бронированная,паркинг,,,,,,нет,,"домофон,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",частично меблирована,ламинат,3 м.,"пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня,                                             тихий двор",нет,нет,,"

                                    Описание от продавца                            
Срочно продам Элитка! 3 к. кв. Скрябина  94м2.  87т.$
Продается элитная, комфортная, светлая 3 к. кв,
Отличное расположение, безопасный район,
Скрябина/Элебаева,


Площадь 94 кв. метра, + две лоджии 7м2
В квартире качественный ремонт, из дорогих материалов 
На 10 этаже из 11, 11 этаж технический,  
Окна выходят восток/запад,                                                                                                                             Идеальная планировка, просторные комнаты   
Две спальни со стороны запада,                                                                                                                     Светлая гостиная 25 кв,                                                                                                                                        Кухня 15кв, качественный кух. гарнитур в подарок. 
Два сан узла 100% кафель,                                                                                                                                                  Большой холл, светлые обои.

Натяжные потолки, сафиты, кондиционеры,
Дизайнерские межкомнатные двери,
Полы ламинат, пластиковые окна,
Все коммуникации центральные,
Встроенная мебель остается в квартире,
  
Подъезд чистый, аккуратный,                                                                                                                                  На площадке 3 кв., доброжелательные соседи,                                                                                                                    Современный лифт,    

Территория дома огорожена,                                                                                                                                               Чиповый замок во двор,  
Ухоженная придомовая территория,
Гостевой паркинг дистанционные ворота,                                                                                                                           Детская площадка
Видео наблюдение по всему периметру дома, 

Просим: 87 000$
Звоните сейчас: 0558808363, 0500808363
","""42.8488""","""74.6127""",https://www.house.kg/details/606923660584cf27f6e47-38424607,
"Участок, 21 соток","Бишкек, Баха/Ю. Магистраль",$ 230 000,19 504 000 сом,,,Добавлено 1 год назад,Поднято 3 дня назад,744,от агента,,,,,21 соток,,,,,,,,,,"свет,                                             вода,                                             канализация",в городе,,,,,,,,,,все документы,,,,"

                                    Описание от продавца                            
Продаю срочно! Баха/Ю.Магистраль, 21 сотка. Участок квадратной формы. Цена 230000$. Торг обязателен!
","""42.8357""","""74.5623""",https://www.house.kg/details/79305695e80a9f5b6f8f1-33427387,
