title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды
"Дом, 6 и более комнат, 270 м2",Бишкек,$ 320 000,27 136 000 сом,$ 1 185/м2,100 504 сом/м2,Добавлено 8 месяцев назад,Поднято 3 месяца назад,1254,от агента,"кирпичный, 2018 г.",,2,270 м2,4.5 соток,,,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,полностью меблирована,,,баня,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продажа:
Адрес: Матросова/Ахунбаева 
2 уровня + цоколь
Квадратура дома: 270м2
4,5 сотки
Все коммуникации центральные
Сделан дорогой качественный ремонт
Дом продается со всей мебелью и техникой.
2018 год постройки
Продается в связи с выездом за границу.
Внешний фасад дома Сары-Таш
Цена: 320.000$ (торг только при осмотре)
Номер телефона 0553503606
                               0500503606
","""42.8443""","""74.5957""",https://www.house.kg/details/92143925f16f26a0327e5-84876542,
"4-комн. кв., 180 м2","Бишкек, пер. ул.Токтогула и ул.Усенбаева",$ 155 000,13 144 000 сом,$ 861/м2,73 022 сом/м2,Добавлено 8 месяцев назад,Поднято 3 месяца назад,754,от агента,"монолитный, 2013 г.",4 этаж из 9,,180 м2,,элитка,центральное,евроремонт,есть,проводной,2 с/у и более,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,,3 м.,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаётся 4х комнатная квартира со всеми удобствами и мебелью
4 этаж из 9
Застройщик ""Авангард Стиль""
Район: Советская/ Скрябина
Общая площадь - 180кв.м,самая большая квартира в доме!

3 спальни, 1 большая гостинная, 3 сан узла, центральное отопление, газ и свет, домофон, большой лифт на чипе, во дворе большая освещаемая парковка с эл.воротами, + детская площадка. Окна из квартиры в 3 стороны - север, юг, запад!

В квартире остается вся мебель:

Прихожая: шкаф для вещей и обуви, тумба, пуфик

Кухня: новый гарнтитур, плита + духовка Simfer, вытяжка, холодильник Hitachi, микроволновка Samsung, диван, стол.

Гостинная: большой раздвижной стол на 14 персон, мягкая мебель, журнальный стеклянный столик, шкаф для посуды, ЖК ТВ Samsung.

1 спальня: спальный гарнитур (кровать двухспал., 2 прикроватные тумбы, камод, шкаф) диван

2 детск. спальня: кровать диван (двухспал.), письменный стол, шкаф,

3 спальня: кровать (двухспал.), камод, гардеробная комната.

Все 3 сан.узла с полностью рабочей сантехникой. (душевая кабина, ванная, 3 унитаза, бидэ, 3 раковины)

В квартире 4 кондиционера LG (зима / лето), все рабочие! 
Цена 155000$
Все вопросы по телефону:
","""42.8499""","""74.6098""",https://www.house.kg/details/29901975f31620a372b64-17713073,
"4-комн. кв., 118 м2","Бишкек, токомбаева",$ 117 000,9 921 600 сом,$ 992/м2,84 081 сом/м2,Добавлено 8 месяцев назад,Поднято 3 месяца назад,918,от агента,монолитный,4 этаж из 10,,118 м2,,индивид. планировка,автономное,евроремонт,,проводной,,,,паркинг,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
📌Продажа:🔥🔥🔥
Продается 4х квартира.118м2,с очень хорошей планировкой.
Застройщик «Олимп строй"".
Квартира на 4 этаже, 10-ти этажного дома.
В квартире сделан дизайнерский ремонт с использованием качественных материалов,также остаётся вся мебель и техника.

Квартира расположена по Южной Магистрали (возле Парка Асанбай) Дом кирпичный,отопление автономное.
В шаговой доступности «Глобус», «Народный»,парк «Асанбай»
Цена:117.000$ +паркинг
Все вопросы:0553503606 0500503606
","""42.8169""","""74.6215""",https://www.house.kg/details/22244015f1d23b5a58521-62345396,
"Дом, 5-комн., 300 м2","Бишкек, Тоголок Молдо/Кудрука",$ 320 000,27 136 000 сом,$ 1 067/м2,90 453 сом/м2,Добавлено 8 месяцев назад,Поднято 3 месяца назад,1049,от агента,кирпичный,,2,300 м2,9 соток,,на газе,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,полностью меблирована,,,"бассейн,                                             сад,                                             навес,                                             сауна,                                             гараж,                                             3 фазы",,,,"

                                    Описание от продавца                            
Продается❗Шикарный❗Особняк
Улица Тоголок Молдо/Кудрука
Площадь дома 300м²
Участок 9 сот.
2 уровня+ подвал
5 комнат 2 сан узла
Сауна- бассейн
Ухоженный двор с зелеными насаждениями и ёлками.
Зона отдыха-барбекю
Гараж на 3 машины
Несколько видов отопления( газ-электро)
Центральная канализация.
Цена 320000$(торг только при осмотре)
Все вопросы по телефону:0553503606. 0500503606
","""42.8887""","""74.5967""",https://www.house.kg/details/5192465f1bdcbfb8ea61-78676443,
"1-комн. кв., 52.17 м2","Бишкек, Джал 15 м-н, Поваринская 36/Тыналиева",$ 30 000,2 544 000 сом,$ 575/м2,48 764 сом/м2,Добавлено 3 месяца назад,,381,от собственника,"монолитный, 2019 г.",2 этаж из 13,,52.17 м2,,элитка,центральное,под самоотделку (псо),возможно подключение,,раздельный,лоджия,бронированная,,,,,,,магистральный,,"домофон,                                             видеонаблюдение",пустая,,3 м.,"неугловая,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1 комн.кв. ПСО.Не угловая.52.17 КВ.м.Вся коммуникация центральная.Солнечная сторона,светлая ,теплая. 2 этаж. Стены заштукатурены,стяжка пола.Дом заселён на 75%.
","""42.8472""","""74.5677""",https://www.house.kg/details/30348345fe300878091b7-92111415,
"Дом, 6 и более комнат, 225 м2",Бишкек,$ 167 000,14 161 600 сом,$ 742/м2,62 940 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,446,от собственника,кирпичный,,2,225 м2,4.5 соток,,,евроремонт,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю новый 2-х этажный особняк
г. Бишкек, пер Ошский /ул. Горького
*Общая площадь-225 кв.м;
*Количество комнат-6;
*Участок - 4,5 сот.;
*Этаж-2;
*Состояние – новый;
*Тип строение- кирпич (1,5);
*Коммуникации – газ, свет, вода, канализация;
*Дополнительно: Продаю новый 2х этажный особняк. переулок ошский пересекает горького. Площадь 225м2. 6 комнат. участок4.5с. Этаж 2. Состояние новый. 1.5 кирпича. Коммуникации- газ свет вода канализация. Новый особняк, утеплен, 6 комнат, 3 санузла. Газ, вода, свет, канализация. Двор евробрусчатка.
*Цена:167 000$(торг. уместен)
*Обращаться по тел.: 0553114688
","""42.8578""","""74.619""",https://www.house.kg/details/47563165facded04ff4b0-60471040,
"3-комн. кв., 49.3 м2","Бишкек, Пишпек ж/м",$ 32 000,2 713 600 сом,$ 649/м2,55 043 сом/м2,Добавлено 3 месяца назад,,349,от собственника,кирпичный,1 этаж из 5,,49.3 м2,,хрущевка,,хорошее,есть,проводной,раздельный,,металлическая,,,,,,,магистральный,,,,,,,нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается 3х комнатная квартира в хорошем состоянии. Рядом школа, детсад, больница, стадион.
","""42.8642""","""74.5459""",https://www.house.kg/details/45582065fe2ea826f74d9-40967481,
"1-комн. кв., 42 м2","Бишкек, Джал-23 м-н (Нижний Джал), ул. Ахунбаева, 198 (мкрн Джал-23, 101)",$ 18 000,1 526 400 сом,$ 429/м2,36 343 сом/м2,Добавлено 9 месяцев назад,Поднято 3 месяца назад,2036,от собственника,монолитный,8 этаж из 10,,42 м2,,элитка,центральное,под самоотделку (псо),возможно подключение,adsl,совмещенный,балкон,металлическая,паркинг,,,,,,магистральный,,,пустая,,3.2 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
дом строиться,сдача ноябрь2021г Школа,садик,поликлиника,народный всё рядом даже автойка возле дома. Дом кирпичный,лифт Хюндай,корейский. Остальное по телефону.
","""42.8434""","""74.5663""",https://www.house.kg/details/78002885ef025c2730268-25880017,
"2-комн. кв., 64.5 м2","Бишкек, Джал-23 м-н (Нижний Джал), курчатова джал 23",$ 32 000,2 713 600 сом,$ 496/м2,42 071 сом/м2,Добавлено 8 месяцев назад,Поднято 3 месяца назад,1616,от собственника,кирпичный,7 этаж из 10,,64.5 м2,,элитка,центральное,свободная планировка,нет,adsl,,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,,,,3.2 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
двух ком кв.64.5м2 строится. Район Нижний Джал 23. Школа,поликлиника, Народный всё рядом. Кирпичный дом сдача ноябрь 2021г весна.
","""42.8434""","""74.5663""",https://www.house.kg/details/51404165f1e8801bcb403-62381420,
"Дом, 3-комн., 124.8 м2","Бишкек, Ак-Ордо ж/м, Бугу Эне 1/327/Бар Булак",$ 80 000,6 784 000 сом,$ 641/м2,54 359 сом/м2,Добавлено 3 месяца назад,,304,от собственника,"кирпичный, 2016 г.",,1,"124.8 м2, жилая: 98 м2, кухня: 21 м2",5 соток,,автономное,евроремонт,,оптика,раздельный,,,,,,септик,центральное водоснабжение,есть,магистральный,,решетки на окнах,полностью меблирована,ламинат,2.9 м.,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес",,,с доплатой продавца,"

                                    Описание от продавца                            
Продаю 1 этажный утеплённый кирпичный  дом с подвалом в районе Ак Ордо ( Ленинский район) верхний район( мало смог) 
Есть красная книга и тех паспорт.
Удобное расположение дома и участка, ездят след.маршруты: -Автобус: 36
-Маршруты: 106, 139, 204 и 192
Улица освещена и проведён газ.
Проводят центральную канализацию.
Есть дома:
-Интернет.
-ТВ.
-Кондиционер.
-Комбинированное отопление
-Теплый пол.
-Детская площадка ( песочница, качеля,горка)
-Тапчан,
-Садовая качеля
-Навес,
-Огород для выращивание овощей, также есть сортовые и плодовые черешни, персики, яблоки, абрикосы и винограды. 
Оставлю теннисный стол, мангал и мн.др.
","""42.8328""","""74.5011""",https://www.house.kg/details/8815705fe2cf26a6a852-62754639,
"1-комн. кв., 44 м2","Бишкек, Ажыбек Батыр 15А/Шота Руставели",$ 30 800,2 611 840 сом,$ 700/м2,59 360 сом/м2,Добавлено 7 месяцев назад,Поднято 3 месяца назад,592,от собственника,монолитный,12 этаж из 12,,44 м2,,индивид. планировка,на газе,черновая отделка,,проводной,раздельный,балкон,нет,паркинг,,,,,,магистральный,,,,,3 м.,,есть,,,,"""42.8397""","""74.5827""",https://www.house.kg/details/19526265f4799f35b5b30-88277943,
"2-комн. кв., 76 м2","Бишкек, Ажыбек Баатыр 15а/Шота Руставели",$ 53 200,4 511 360 сом,$ 700/м2,59 360 сом/м2,Добавлено 5 месяцев назад,Поднято 3 месяца назад,494,от собственника,"монолитный, 2019 г.",7 этаж из 12,,"76 м2, жилая: 76 м2, кухня: 10 м2",,элитка,на газе,под самоотделку (псо),возможно подключение,проводной,раздельный,балкон,нет,паркинг,,,,,,магистральный,,,пустая,,3 м.,улучшенная,есть,,с доплатой покупателя,"

                                    Описание от продавца                            
Дом оснащен благоустроенным огражденным двором с парковкой и гостевой автопарковкой, детской игровой площадкой.

На первом этаже магазины и офисы

Дом оснащен:
бесшумным скоростным лифтом;
бронированной входной дверью 
в подъезд с домофоном.
","""42.8397""","""74.5827""",https://www.house.kg/details/76575655f881035a898b7-19722261,
"2-комн. кв., 76 м2","Бишкек, Льва Толстого 2/14/Садырбаева",$ 45 600,3 866 880 сом,$ 600/м2,50 880 сом/м2,Добавлено 6 месяцев назад,Поднято 3 месяца назад,497,от собственника,"монолитный, 2020 г.",5 этаж из 17,,"76 м2, жилая: 76 м2, кухня: 17 м2",,индивид. планировка,на газе,под самоотделку (псо),возможно подключение,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"видеодомофон,                                             охрана,                                             кодовый замок",пустая,,3.1 м.,"улучшенная,                                             неугловая",есть,,обмен на авто,"

                                    Описание от продавца                            
Жилой комплекс ""Новый Век"" 
Удобная планировка квартир и выгодное месторасположение жилого квартала.
Доступная цена и рассрочка до 48 месяцев.
Подземный паркинг на 4га,парк со спортивными и детскими площадками, ландшафтный дизайн.
Развитая инфраструктура: магазин, аптека, фитнес-зал, дошкольное учреждение и прочее.
Центральные коммуникации.
","""42.8646""","""74.558""",https://www.house.kg/details/8584185f714eef0f70c5-40727882,
"1-комн. кв., 48 м2","Бишкек, Л.Толстого 15а/Садырбаева",$ 28 800,2 442 240 сом,$ 600/м2,50 880 сом/м2,Добавлено 6 месяцев назад,Поднято 3 месяца назад,488,от собственника,"монолитный, 2020 г.",7 этаж из 17,,"48 м2, жилая: 48 м2, кухня: 13 м2",,индивид. планировка,на газе,под самоотделку (псо),возможно подключение,проводной,совмещенный,балкон,бронированная,паркинг,,,,,,магистральный,,"видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",пустая,,3.1 м.,,есть,,обмен на авто,"

                                    Описание от продавца                            
Жилой комплекс""Новый Век"" 
Удобная планировка квартир и выгодное месторасположение жилого квартала.
ДОСТУПНАЯ ЦЕНА и РАССРОЧКА до 48 месяцев.
Подземный паркинг на 4 га, парк со спортивными и детскими площадками, ландшафтный дизайн.
Развитая инфраструктура: магазин,аптека,фитнес-зал, дошкольное учреждение и прочее.
Центральные коммуникации.
","""42.8646""","""74.558""",https://www.house.kg/details/47474255f6ab97acf4de0-34928704,
"3-комн. кв., 56 м2","Бишкек, Тимура Фрунзе/Тойгонбаева",$ 33 000,2 798 400 сом,$ 589/м2,49 971 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,350,от агента,кирпичный,3 этаж из 4,,56 м2,,104 серия улучшенная,,,,,,,,,,,,,,,,,,,,,нет,есть,,"

                                    Описание от продавца                            
Продаю 3 комнатную квартиру в кирпичном доме площадью 56м2, есть 1 балкон

 

р-он Пишпека, ул.Тимура Фрунзе/ ул.Тойгонбаева

 

Квартира в хорошем состоянии, санузел кафель, трубы пластик.

 

на 3/4 этаже, все центральные коммуникации, отопление своя котельная.

 

цена 33т.$

 

0556 62 32 08
","""42.8565""","""74.5376""",https://www.house.kg/details/64167585fabe1cbc42139-19594546,
"1-комн. кв., 40 м2","Бишкек, Московская/Фучики",$ 19 340,1 640 000 сом,$ 484/м2,41 000 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,344,от собственника,кирпичный,3 этаж из 10,,40 м2,,элитка,центральное,,,,,,,,,,,,,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение",,,3 м.,"тихий двор,                                             удобно под бизнес",есть,,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продаю 1 комнатную квартиру
Под ПСО от 40м2
Красная книга
Центральные коммуникации
Хорошая инфраструктура( РЯДОМ №57 школа, городская больница, парк, все по шаговой доступности)
Газификация
Видеонаблюдение
Охрана
Озеленение
Паркинг
Застройщик "" СТАЛЬКОН""
ЖК "" Фучика""
Рассмотрю вариант обмен на Авто
Цена: за 1м2 41 000 сом
Телефон: 0504909555
","""42.8728""","""74.5631""",https://www.house.kg/details/985345fe0795fdf96e3-02389494,
"2-комн. кв., 63.41 м2","Бишкек, Московская/Фучики",$ 30 658,2 599 810 сом,$ 483/м2,41 000 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,294,от собственника,кирпичный,3 этаж из 10,,63.41 м2,,элитка,центральное,,,,,,,,,,,,,,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение",,,3 м.,пластиковые окна,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продаю 2 комнатную квартиру
Под ПСО от 63,41м2
Красная книга
Центральные коммуникации
Хорошая инфраструктура( РЯДОМ №57 школа, городская больница, парк, все по шаговой доступности)
Газификация
Видеонаблюдение
Охрана
Озеленение
Паркинг
Застройщик "" СТАЛЬКОН""
ЖК "" Фучика"" Рассмотрю вариант на обмен авто
Цена: за 1м2 41 000 сом
Телефон: 0504909555
","""42.8726""","""74.564""",https://www.house.kg/details/82495605fe07bbf8959a0-92557049,
"3-комн. кв., 83.06 м2","Бишкек, Московская/Фучики",$ 40 159,3 405 460 сом,$ 483/м2,41 000 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,234,от собственника,кирпичный,4 этаж из 10,,83.06 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,есть,,,"

                                    Описание от продавца                            
Срочно продаю 1 комнатную квартиру
Под ПСО от 83,06м2
Красная книга
Центральные коммуникации
Хорошая инфраструктура( РЯДОМ №57 школа, городская больница, парк, все по шаговой доступности)
Газификация
Видеонаблюдение
Охрана
Озеленение
Паркинг
Застройщик "" СТАЛЬКОН""
ЖК "" Фучика""
Рассмотрю вариант обмен на машину
Цена: за 1м2 41 000 сом
Телефон: 0504909555
","""42.8726""","""74.564""",https://www.house.kg/details/23985885fe07db7ea4913-82833489,
