title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"1-комн. кв., 44 м2","Бишкек, Учкун м-н",$ 27 000,2 289 600 сом,$ 614/м2,52 036 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,438,от собственника,панельный,3 этаж из 9,,44 м2,,105 серия улучшенная,центральное,хорошее,есть,adsl,совмещенный,лоджия,бронированная,,,,,,,магистральный,,,полностью меблирована,линолеум,,,,,,"

                                    Описание от продавца                            
Продаю 1ком квартиру. Тихий район. Хорошие соседи. Квартира с мебелью. Всё в шаговой доступности. Школа, сады,Поликлиника ,аптеки. Чынар базар.
","""42.8713""","""74.6929""",https://www.house.kg/details/70119535ff47053630fb8-59998510
"2-комн. кв., 63 м2","Бишкек, Ч.Айтматова 4/Горького",$ 44 000,3 731 200 сом,$ 698/м2,59 225 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,249,от собственника,"монолитный, 2019 г.",8 этаж из 12,,"63 м2, жилая: 63 м2, кухня: 10 м2",,элитка,центральное,черновая отделка,возможно подключение,,2 с/у и более,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             охрана,                                             видеонаблюдение",пустая,,3 м.,пластиковые окна,,,,"

                                    Описание от продавца                            
Продаю 2 комнатную квартиру. Район Госрегистр. СК. Ихлас. ЖК. Бот.Сад. 44$ Тел.0550238828
","""42.8626""","""74.5883""",https://www.house.kg/details/1391365ff2b3b046ff79-92761860
"Участок, 3.66 соток","Бишкек, Осмонкула 2/Московская Карпинка",$ 85 000,7 208 000 сом,,,Добавлено 2 месяца назад,,241,от собственника,,,,,3.66 соток,,,,,,,,,,"свет,                                             газ,                                             вода,                                             канализация",вдоль трассы,,,,,,,,,,"фундамент,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Первая линия по Московской пересекает Карпинка
Напротив химчистки Новость
3.66 сотки
85000$
Красная книга
Под строительство
Обмен интересует
","""42.8687""","""74.6254""",https://www.house.kg/details/5073028600d825c055225-32912195
"Коммерческая недвижимость, 52 м2",Бишкек,$ 40 000,3 392 000 сом,$ 769/м2,65 231 сом/м2,Добавлено 9 месяцев назад,Поднято 2 месяца назад,653,от собственника,"кирпичный, 1972 г.",,2,52 м2,,,центральное,среднее,есть,,,,,,,,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
срочно продаю аптеку, вместе с оборудованием и товаром
","""42.8643""","""74.5447""",https://www.house.kg/details/57962585efb5a2c009895-86337336
"2-комн. кв., 47 м2","Бишкек, Льва Толстого 59",$ 35 000,2 968 000 сом,$ 745/м2,63 149 сом/м2,Добавлено 9 месяцев назад,Поднято 2 месяца назад,454,от собственника,"кирпичный, 1978 г.",3 этаж из 5,,47 м2,,индивид. планировка,центральное,хорошее,есть,,раздельный,застекленный балкон,металлическая,,,,,,,магистральный,,,частично меблирована,дерево,,,,,,,"""42.8652""","""74.5542""",https://www.house.kg/details/51060895efb1b091b33d7-55192002
"Коммерческая недвижимость, 150 м2","Бишкек, чуй 155",$ 225 000,19 080 000 сом,$ 1 500/м2,127 200 сом/м2,Добавлено 2 месяца назад,,199,от собственника,кирпичный,,1,150 м2,,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаются Коммерческая недвижимость (Торговое помещение/ офис) 
от Застройщика: Авангард Стиль ЖК "" Арбат "", 

  Офис     (150м2) и (150м2)                        
 1- этаж 
цена 1500$м2 Торг
Рассмотрим варианты обмена на авто или вторичного жилья (недвижимость меньшей стоимостью)
Варианты рассрочки с не менее 50% первоначального взноса в удобные для вас сроки

Тел: 0703141819 (есть what's up)

Тел:0703141819 

        0555492055
","""42.8745""","""74.5876""",https://www.house.kg/details/9319202600d55a396ce70-24005332
"1-комн. кв., 35 м2","Бишкек, Чокморова 246/Турусбекова",$ 31 000,2 628 800 сом,$ 886/м2,75 109 сом/м2,Добавлено 2 месяца назад,,271,от собственника,кирпичный,5 этаж из 5,,"35 м2, жилая: 29 м2, кухня: 9 м2",,индивид. планировка,центральное,евроремонт,есть,,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             кодовый замок",пустая,ламинат,,"пластиковые окна,                                             улучшенная,                                             кухня-студия,                                             неугловая",,,с доплатой покупателя,"

                                    Описание от продавца                            
Центр. Продаю 1 комн кирп. кв.    индив. проект  с ремонтом студия, 5/5,неугловая,  2 лоджии  выходят на юг, хороший подьезд и   отличный двор. Рядом 13 и 70 школы, 2 детских садика и супермаркет"" народный"", кафе ""тюбетейка"". Турусбекова
","""42.869""","""74.5832""",https://www.house.kg/details/1305571600d5392806f37-99711518
"Дом, 4-комн., 90 м2","Бишкек, Алтын-Ордо ж/м, 5 583",$ 58 000,4 918 400 сом,$ 644/м2,54 649 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,365,от собственника,"другое, 2012 г.",,1,"90 м2, жилая: 90 м2",5 соток,,смешанное,,,проводной,совмещенный,,,,,,центральная,центральное водоснабжение,есть,возможно подключение,,,пустая,дерево,,,,,,,"""42.8453""","""74.6672""",https://www.house.kg/details/89749645ff358b9a22661-49994034
"Дом, 6 и более комнат, 100 м2","Бишкек, Витебский переулок/Тулебердиева",$ 48 000,4 070 400 сом,$ 480/м2,40 704 сом/м2,Добавлено 8 месяцев назад,Поднято 2 месяца назад,673,от собственника,"кирпичный, 1983 г.",,1,"100 м2, жилая: 75 м2, кухня: 12 м2",4 соток,,на газе,хорошее,возможно подключение,оптика,раздельный,,,,,,возможно подведение,центральное водоснабжение,есть,магистральный,,,частично меблирована,ламинат,2.8 м.,"баня,                                             хозпостройки",,,рассмотрю варианты,"

                                    Описание от продавца                            
срочно продаю дом. имеются все условия для комфортного проживания. 2 кондиционера, 2 интернет провайдера, спутниковое телевидение, 3 Аристона и много чего интересного. все вопросы по телефону.
","""42.9115""","""74.5953""",https://www.house.kg/details/44107335f243b11cf3ad8-11735434
"Коммерческая недвижимость, 100 м2","Бишкек, Асанбай м-н, Южная магистраль/сухэбатора",$ 137 000,11 617 600 сом,$ 1 370/м2,116 176 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,261,от собственника,"кирпичный, 2021 г.",,9,100 м2,,,центральное,черновая отделка,нет,,,,,,,,,,,,,,,,,,есть,,с доплатой покупателя,,"""42.8181""","""74.6173""",https://www.house.kg/details/85914355ff808276ee6b6-47999062
