title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 51 м2","Бишкек, Кок-Жар м-н 19",$ 29 000,2 459 200 сом,$ 569/м2,48 220 сом/м2,Добавлено 1 месяц назад,Поднято 14 дней назад,400,от агента,кирпичный,4 этаж из 5,,51 м2,,малосемейка,центральное,хорошее,,,раздельный,,,,,,,,,,,,частично меблирована,,,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",есть,есть,,"

                                    Описание от продавца                            
Срочно продам! 2 к. кв. мкр. Кок-Жар. 51м2. 29т.$
Продается просторная 2 к. кв,
Индивидуального проекта,комнаты изолированные ,санузел раздельный
Коридорного типа,
Не угловая!

Площадь 51 кв. метр,
Квартира в хорошем состоянии,
На 4 этаже из 5,
Просторный, светлый зал,
Пластиковые окна,
Стены обои, пол линолеум,
Санузлы раздельные, 100% кафель,
Коммуникации все центральные,
Кроме газа,

В шаговой доступности: детсад,
Магазины, аптеки,

Цена: 29 000$ торг
Звоните: 0555 703 708, 0706 77 00 77,
Покажу в течение 1-часа
","""42.8495""","""74.6307""",https://www.house.kg/details/976022160238e048d3b95-65772067,
"3-комн. кв., 58 м2","Бишкек, Ошский рынок, Боконбаева 251/Бейшеналиева",$ 41 500,3 519 200 сом,$ 716/м2,60 676 сом/м2,Добавлено 1 месяц назад,Поднято 14 дней назад,219,от собственника,кирпичный,1 этаж из 5,,58 м2,,104 серия,центральное,евроремонт,,,,,бронированная,,,,,,,магистральный,,домофон,,ламинат,,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",есть,есть,,"

                                    Описание от продавца                            
Срочно продам! 3 к. кв. М. Гвардия. 104сер. 58м. 41,5т.$
Продается отличная, светлая 3 к. кв,
С новым  евроремонтом,
М. Гвардия/Боконбаева,
Не угловая!

Площадь 58 кв. метров,
Квартира после ремонта,
На 1 этаже из 5, на окнах решетки,
Дорогие, современные обои,
Окна пластиковые, полы ламинат,
Хорошие межкомнатные двери,
Санузел 100% новый кафель,
Новая сантехника, трубы заменены,
Коммуникации все центральные,

Чистый подъезд, детская площадка во дворе,

В шаговой доступности: ТЦ ""Весна"",
Школа №68, №8, №13, детсад №167, № 73, №22,
Удобная транспортная развязка,

Просим: 41 500$,
Звоните сейчас: 0555 703 708, 0706 77 00 77,
Покажу в течение 1-часа
","""42.8693""","""74.5714""",https://www.house.kg/details/420127560238aa6b505f0-73977819,
"3-комн. кв., 107 м2","Бишкек, Чынгыза Айтматова 93/1A",$ 134 000,11 363 200 сом,$ 1 252/м2,106 198 сом/м2,Добавлено 2 месяца назад,Поднято 14 дней назад,241,от агента,"монолитный, 2015 г.",6 этаж из 9,,107 м2,,элитка,автономное,евроремонт,,,2 с/у и более,балкон,бронированная,,,,,,,,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",полностью меблирована,,3 м.,"новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,"

                                    Описание от продавца                            
Срочно продам! Элитная 3 к. кв. ЖК «Орион»(Куттубай). 107м2.
Продается в самом престижном районе 3 к. кв,
Комфорт класса, абсолютно НОВАЯ!
Пространство, удобство и новейшая техника!
Ч. Айтматова/Южная Магистраль, Блок 1,
Дом сдан 2015 году,



Площадь квартиры 107 кв. метров,
Шикарный ремонт в классическом стиле,
Квартира на 6 этаже из 14,
Роскошный вид из окон на парк,
Родительская спальня с французским балконом,
Детская комната также с балконом,
Два полноценных санузла, 100% кафель,
Просторная, стильная кухня,
Укомплектована современной техникой,


Качественные межкомнатные двери/орех,
Теплые полы, Панорамные окна,
Материалы все натуральные! Высокого качества!
Квартира абсолютно не требует вложений!
Мебель, бытовая техника входят в стоимость квартиры,
Коммуникации все центральные,
Отопление автономное,


На площадке только три квартиры, один подъезд,
Огороженный двор, охрана 24/7,
Видеонаблюдение по периметру,
Детская и футбольная площадка,
Подземный и гостевой паркинг,
Чистый воздух. Прогулочные аллеи. Велодорожки.


Просим: 134 000 $, торг уместен,
Звоните: 0555 703 708, 0706 77 00 77,
Покажу в течение 1-2 часов
","""42.8743""","""74.5942""",https://www.house.kg/details/95166986020dcef0256d2-48548317,
"2-комн. кв., 43 м2","Бишкек, Душанбинка, Шакирова 20/Токтоналиева",$ 36 800,3 120 640 сом,$ 856/м2,72 573 сом/м2,Добавлено 1 месяц назад,Поднято 14 дней назад,396,от агента,кирпичный,2 этаж из 5,,43 м2,,хрущевка,центральное,евроремонт,,,,балкон,,,,,,,,магистральный,,домофон,полностью меблирована,ламинат,,,есть,есть,,"

                                    Описание от продавца                            
Срочно продам! 2 к. кв. Малдыбаева. 43м2. кирп. 36,8т.$ 
Продается стильная 2 к. кв. в кирпичном доме,
С дизайнерским ремонтом, 
На 2 этаже из 4, с балконом,
Малдыбаева/Джаманбаева,
Улица Шакирова,

Площадь 43 кв. метра,
Квартира в шикарном состоянии,
Красивые обои, пластиковые окна,
Полы ламинат, арочные дверные проёмы,
Хорошие межкомнатные двери,
Балкон застеклен, с видом во двор,
Санузел 100% новый кафель,
Все трубы заменены, новая сантехника,  
Все коммуникации центральные,
Чистый подъезд,

Встроенная мебель входит в стоимость квартиры,

В шаговой доступности: Детские сады: №5, №78,
«Журавушка», Школа-гимназия №48, №69, Политех, БГУ,
Парк им. Кемаля Ататюрка,

Документы уже готовы к продаже, быстрый выход на сделку,

Просим: 36 800$ 
Звоните сейчас: 0555 703 708, 0706 77 00 77,
Покажу в течение 1-2 часов
","""42.8476""","""74.595""",https://www.house.kg/details/996162860237cd525dba6-63543066,
"2-комн. кв., 60 м2","Бишкек, Кок-Жар ж/м, Ахунбаева-Молдокулова (Кок-Джар)",$ 37 000,3 137 600 сом,$ 617/м2,52 293 сом/м2,Добавлено 14 дней назад,,100,от собственника,кирпичный,1 этаж из 10,,60 м2,,элитка,,под самоотделку (псо),,,раздельный,застекленный балкон,бронированная,паркинг,,,,,,,,"охрана,                                             видеонаблюдение",,,2.8 м.,пластиковые окна,,,,"

                                    Описание от продавца                            
продается 2 ком кв в новом кирпичном доме жк Фемили Хаус в кок жаре 
дом готовый можно делать ремонт и заселяться, люди уже живут .
охраняемая территория закрытая, детская площадка , паркинг наземный и подземные , видеонаблюдения .
рядом школа садики глобус чистый воздух
","""42.8397""","""74.6433""",https://www.house.kg/details/24326686049fef2172008-22556006,
"2-комн. кв., 90 м2","Бишкек, Суюнбаева 159/Фрунзе",$ 45 000,3 816 000 сом,$ 500/м2,42 400 сом/м2,Добавлено 14 дней назад,,63,от агента,"монолитный, 2017 г.",9 этаж из 12,,"90 м2, жилая: 50 м2, кухня: 14 м2",,элитка,центральное,под самоотделку (псо),есть,оптика,2 с/у и более,лоджия,бронированная,паркинг,,,,,,магистральный,,,полностью меблирована,плитка,2.8 м.,,есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно продаются 2-3х комнатные квартиры

Дом расположен по ул. Cуюнбаева 159 на перес. ул. Фрунзе.

Этажность: 12 этажей

Площадь:90,6 м2

Срок завершения I квартал 2021 года.

Благоустроенный двор и детская площадка.

Удобные подъездные пути, паркинг и гостевая парковка.

Инфраструктура: центральная дорога, удобная транспортировка в любую часть города, университеты, супермаркеты, салоны красоты, банки, образовательные центры.

Стоимость:500 долл. за кв.метр

Рассрочка на 24 месяцев, бартер
","""42.8831""","""74.6233""",https://www.house.kg/details/12976966049fa841c7679-01995672,
"Участок, 9 соток","Бишкек, Арча-Бешик ж/м, Тогуз Тутун 3/Чортекова",$ 85 000,7 208 000 сом,,,Добавлено 14 дней назад,,76,от собственника,,,,,9 соток,,,,,,,,,,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация",вдоль трассы,,,,,,,,,,времянка,,,,"

                                    Описание от продавца                            
Продаю участок 9 соток, с небольшим домом, в ж/м Арча Бешик .Очень удобное месторасположение, рядом магазины,аптеки,больница,спорт.комплекс Газпром.Участок огорожен,есть небольшой дом,септик.Есть два выхода на главную улицу
","""42.8286""","""74.5419""",https://www.house.kg/details/32465926049f8c8082d21-41601188,
"Дом, 5-комн., 126 м2","Бишкек, Джунусалиева / Целинная",$ 123 000,10 430 400 сом,$ 976/м2,82 781 сом/м2,Добавлено 8 месяцев назад,Поднято 14 дней назад,769,от собственника,кирпичный,,1,126 м2,6 соток,,смешанное,хорошее,есть,проводной,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,"домофон,                                             видеодомофон",полностью меблирована,дерево,,"навес,                                             гараж,                                             веранда,                                             3 фазы",есть,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю большой просторный дом в отличном районе (район кинотеатра Манас) с участком и готовым бизнесом (частный детский сад). Имеется оборудованная под кухню времянка, наружный туалет, в доме три фазы и центральная канализация. Имеется два заезда и два навеса, мощный стабилизатор напряжения, городской телефон. Дом полностью утеплен, пол деревянный, лакированный. На дом имеется красная книга, тех паспорт и др. Дом используется под успешный бизнес - частный детский сад. Он находится в 5 минутах от улиц Ахунбаева, Шота-Руставели и Чапаева. Рядом поликлиника, школа, Политех, магазины. Очень удобные подьездные пути, улица широкая асфальтированная. Есть перспектива 2ого этажа. Показ дома только по предварительному звонку(в субботу или воскресенье)
","""42.8466""","""74.5801""",https://www.house.kg/details/77758295f198aa469f944-33206408,
"Дом, 3-комн., 120 м2","Бишкек, Рухий Мурас ж/м, Нооруз 47/Тилебалды- Ата",$ 89 000,7 547 200 сом,$ 742/м2,62 893 сом/м2,Добавлено 14 дней назад,,98,от собственника,"кирпичный, 2019 г.",,1,"120 м2, жилая: 115 м2, кухня: 20 м2",4 соток,,на твердом топливе,евроремонт,возможно подключение,проводной,совмещенный,,,,,,центральная,центральное водоснабжение,есть,возможно подключение,,,частично меблирована,дерево,3 м.,"пластиковые окна,                                             навес,                                             3 фазы,                                             веранда",есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
продаю большой кирпичный дом 120'м , 1 этажный дом, 4 соток + времянка, навес, центральная канализация подключена, электричество 3 васа, район за Тунгучом, Рухий Мурас.имеется все  документы красная книга и технический паспорт, прошу 89000$.Варианты. торг при осмотре.
","""42.8505""","""74.6997""",https://www.house.kg/details/86016576049f36314cd35-77962096,
"Дом, 4-комн., 110 м2","Бишкек, Восточный автовокзал, Абдыкадырова 62/пер.Эстонский",$ 53 066,4 500 000 сом,$ 482/м2,40 909 сом/м2,Добавлено 14 дней назад,,80,от собственника,другое,,1,"110 м2, жилая: 90 м2, кухня: 15 м2",10 соток,,смешанное,хорошее,есть,проводной,совмещенный,,,,,,септик,центральное водоснабжение,есть,магистральный,,решетки на окнах,полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             сад,                                             хозпостройки",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Дом с мебелью,сад огород,хоз постройки,скважина.
","""42.8942""","""74.6302""",https://www.house.kg/details/29596256049f2042032c1-59148529,
